20220420_CMX_NB_congelados,20220420_CMX_NB_lacteosyhuevos,20220420_CMX_NB_aseoehigiene,20220420_CMX_NB_desechables
140372403.0,141722369.0,79704907.0,145371726.0
139215286.0,15131398.0,128080716.0,143532627.0
115491255.0,143110926.0,139381586.0,142496342.0
143663543.0,142424847.0,-263330.0,44483159.0
141728189.0,141796120.0,136280932.0,143065688.0
141717954.0,47887138.0,143227767.0,127851100.0
132764103.0,143016745.0,143051652.0,135191141.0
141818311.0,142961451.0,145320848.0,140417647.0
126046663.0,139195183.0,63308691.0,136641138.0
139123148.0,145228592.0,125629335.0,143192694.0
139811277.0,140981043.0,16692121.0,146139766.0
58028495.0,54481722.0,139914139.0,142973564.0
141670869.0,-269501.0,140290974.0,140354176.0
142252506.0,23800643.0,139942830.0,140305024.0
142375387.0,79704907.0,128121780.0,139833986.0
41976286.0,128080716.0,141286333.0,133632651.0
145934815.0,145175376.0,135078847.0,138627724.0
140306914.0,141890392.0,141751232.0,141642382.0
136698344.0,136280932.0,140037058.0,143151765.0
142416360.0,146275172.0,49871816.0,143075991.0
142463466.0,143051652.0,130431954.0,139473561.0
139139563.0,142295947.0,144088022.0,141785762.0
36409841.0,129172365.0,141665241.0,142281379.0
84939250.0,63308691.0,124521438.0,128473764.0
141693428.0,132924310.0,144665568.0,142305957.0
139237877.0,125629335.0,23479281.0,139750058.0
140321270.0,145216408.0,15315958.0,122454702.0
143088122.0,139166625.0,48266231.0,145410739.0
141904379.0,139942830.0,-259076.0,141884088.0
145324544.0,21500849.0,144456705.0,145490619.0
140409348.0,128121780.0,145148932.0,143123137.0
141771270.0,135119796.0,145972247.0,145410753.0
140423688.0,141884347.0,139156515.0,141683396.0
143032840.0,140381116.0,143150129.0,146131653.0
141775372.0,141286333.0,143526974.0,141179593.0
146033165.0,141792190.0,141884488.0,146244300.0
121360910.0,135078847.0,139949129.0,141759183.0
125598223.0,141751232.0,141309003.0,143059664.0
142447122.0,140411842.0,73923667.0,143092433.0
143665682.0,49871816.0,143227994.0,140333778.0
141785620.0,142425033.0,140416100.0,143606486.0
140313112.0,141800395.0,141352041.0,138515160.0
129610268.0,140321746.0,55839850.0,143190756.0
141642269.0,144088022.0,140026997.0,143717093.0
143053340.0,141665241.0,139881594.0,142342887.0
145306151.0,124521438.0,15752318.0,143190761.0
141748778.0,23479281.0,141767808.0,136702703.0
141720110.0,142216178.0,143053953.0,141722369.0
133151281.0,15315958.0,143959181.0,142494467.0
140311103.0,48266231.0,139308192.0,140448516.0
143239745.0,139467768.0,138093741.0,142496517.0
142488134.0,144456705.0,128193710.0,15131398.0
136180296.0,146095116.0,145210542.0,143110926.0
146027081.0,142275600.0,145343669.0,142424847.0
142551626.0,141689878.0,144755899.0,141818643.0
140333646.0,145972247.0,140410045.0,145890067.0
145371726.0,141618202.0,138747073.0,141796120.0
143532627.0,129125423.0,143031494.0,47887138.0
142496342.0,143150129.0,129283274.0,49572647.0
140304983.0,143156276.0,139080909.0,143016745.0
44483159.0,142404663.0,143043793.0,142961451.0
143065688.0,143526974.0,140317911.0,145228592.0
140364379.0,142414916.0,140942552.0,140981043.0
127851100.0,141884488.0,143029467.0,130538297.0
146018909.0,139949129.0,133702879.0,-269501.0
135191141.0,141309003.0,143602913.0,143602500.0
142488167.0,139177041.0,143684834.0,142420808.0
128066158.0,143676497.0,-269084.0,79704907.0
140417647.0,142511193.0,143117552.0,128080716.0
139313777.0,143227994.0,136854770.0,145175376.0
136641138.0,140444763.0,138841336.0,139381586.0
139291252.0,140465244.0,125558014.0,141835091.0
143192694.0,139783269.0,142499090.0,145431380.0
