20220420_CMX_NB_pollo_W16,20220420_CMX_NB_res_W16,20220420_CMX_NB_cerdo_W16,20220420_CMX_NB_pescadosymariscoscongelado_W16,20220420_CMX_NB_embutidos_W16
145306151.0,143239745.0,142488134.0,140313112.0,143053340.0
141748778.0,136180296.0,136180296.0,129610268.0,145306151.0
141720110.0,146027081.0,146027081.0,141642269.0,141720110.0
133151281.0,142551626.0,142551626.0,143053340.0,133151281.0
140311103.0,145371726.0,140333646.0,145306151.0,140311103.0
143239745.0,143532627.0,145371726.0,141720110.0,143239745.0
142488134.0,142496342.0,143532627.0,133151281.0,136180296.0
136180296.0,140304983.0,142496342.0,140311103.0,146027081.0
146027081.0,44483159.0,140304983.0,143239745.0,142551626.0
142551626.0,143065688.0,44483159.0,142488134.0,140333646.0
140333646.0,127851100.0,143065688.0,136180296.0,145371726.0
143532627.0,146018909.0,140364379.0,146027081.0,143532627.0
140304983.0,135191141.0,127851100.0,142551626.0,142496342.0
44483159.0,142488167.0,146018909.0,140333646.0,140304983.0
143065688.0,128066158.0,135191141.0,145371726.0,44483159.0
140364379.0,140417647.0,142488167.0,142496342.0,143065688.0
127851100.0,139313777.0,128066158.0,140304983.0,140364379.0
146018909.0,136641138.0,140417647.0,44483159.0,127851100.0
135191141.0,139291252.0,139313777.0,143065688.0,146018909.0
142488167.0,143192694.0,136641138.0,140364379.0,135191141.0
128066158.0,-255369.0,139291252.0,127851100.0,142488167.0
140417647.0,146139766.0,143192694.0,146018909.0,128066158.0
139313777.0,38990459.0,-255369.0,135191141.0,140417647.0
136641138.0,142973564.0,146139766.0,142488167.0,139313777.0
139291252.0,140354176.0,38990459.0,128066158.0,136641138.0
143192694.0,140305024.0,142973564.0,140417647.0,139291252.0
-255369.0,139833986.0,140305024.0,139313777.0,143192694.0
146139766.0,139303559.0,139833986.0,136641138.0,-255369.0
38990459.0,133632651.0,139303559.0,139291252.0,146139766.0
142973564.0,138627724.0,133632651.0,143192694.0,38990459.0
140354176.0,141642382.0,138627724.0,-255369.0,142973564.0
140305024.0,140423827.0,141642382.0,146139766.0,140354176.0
139833986.0,146014867.0,140423827.0,38990459.0,140305024.0
139303559.0,143151765.0,146014867.0,142973564.0,139833986.0
133632651.0,143075991.0,143151765.0,140354176.0,139303559.0
138627724.0,139473561.0,143075991.0,140305024.0,133632651.0
141642382.0,143110810.0,139473561.0,139833986.0,138627724.0
140423827.0,135414428.0,143110810.0,139303559.0,141642382.0
146014867.0,136225441.0,135414428.0,133632651.0,140423827.0
143151765.0,141785762.0,136225441.0,138627724.0,146014867.0
143075991.0,142281379.0,141785762.0,141642382.0,143151765.0
143110810.0,128473764.0,142281379.0,140423827.0,143075991.0
135414428.0,142305957.0,128473764.0,146014867.0,139473561.0
136225441.0,139750058.0,142305957.0,143151765.0,143110810.0
141785762.0,128973482.0,139750058.0,143075991.0,135414428.0
142281379.0,141859500.0,128973482.0,139473561.0,136225441.0
128473764.0,140309165.0,141859500.0,143110810.0,141785762.0
142305957.0,122454702.0,140309165.0,135414428.0,142281379.0
139750058.0,145136306.0,122454702.0,142281379.0,128473764.0
128973482.0,128717493.0,145136306.0,128473764.0,142305957.0
141859500.0,142488246.0,145410739.0,142305957.0,139750058.0
140309165.0,141884088.0,128717493.0,139750058.0,128973482.0
122454702.0,145490619.0,142488246.0,128973482.0,141859500.0
145136306.0,-261442.0,141884088.0,141859500.0,140309165.0
145410739.0,143123137.0,145490619.0,140309165.0,122454702.0
128717493.0,143631042.0,-261442.0,122454702.0,145136306.0
141884088.0,145410753.0,143123137.0,145136306.0,145410739.0
145490619.0,141683396.0,143631042.0,145410739.0,128717493.0
143631042.0,143155908.0,145410753.0,128717493.0,142488246.0
145410753.0,146131653.0,141683396.0,142488246.0,141884088.0
141683396.0,141179593.0,143155908.0,141884088.0,145490619.0
143155908.0,146244300.0,146131653.0,145490619.0,-261442.0
146131653.0,138799823.0,141179593.0,-261442.0,143123137.0
141179593.0,141759183.0,146244300.0,143123137.0,143631042.0
146244300.0,143092433.0,138799823.0,143631042.0,145410753.0
138799823.0,140333778.0,141759183.0,145410753.0,141683396.0
141759183.0,143059664.0,143092433.0,141683396.0,143155908.0
143092433.0,139211477.0,140333778.0,146131653.0,146131653.0
140333778.0,139809493.0,143059664.0,141179593.0,141179593.0
143059664.0,143606486.0,139211477.0,146244300.0,138799823.0
139809493.0,138515160.0,139809493.0,138799823.0,141759183.0
143606486.0,142254818.0,143606486.0,141759183.0,143092433.0
142254818.0,143190756.0,138515160.0,143092433.0,140333778.0
143190756.0,143717093.0,142254818.0,140333778.0,143059664.0
143717093.0,143190761.0,143190756.0,143059664.0,139211477.0
142342887.0,141699818.0,143717093.0,139211477.0,139809493.0
143190761.0,143086314.0,142342887.0,139809493.0,143606486.0
141699818.0,136702703.0,143190761.0,143606486.0,138515160.0
143086314.0,146164469.0,141699818.0,138515160.0,142254818.0
140387054.0,141722369.0,143086314.0,142254818.0,143190756.0
136702703.0,142494467.0,140387054.0,143190756.0,143717093.0
146164469.0,140448516.0,136702703.0,143717093.0,142342887.0
141722369.0,15131398.0,146164469.0,142342887.0,143190761.0
142494467.0,140290828.0,141722369.0,141699818.0,141699818.0
140448516.0,143110926.0,142494467.0,143086314.0,143086314.0
142496517.0,142424847.0,140448516.0,140387054.0,136702703.0
15131398.0,117637906.0,142496517.0,136702703.0,146164469.0
140290828.0,141818643.0,140290828.0,146164469.0,141722369.0
143110926.0,145890067.0,143110926.0,141722369.0,142494467.0
142424847.0,140051221.0,142424847.0,142494467.0,140448516.0
117637906.0,141796120.0,117637906.0,140448516.0,142496517.0
141818643.0,141380382.0,145890067.0,142496517.0,15131398.0
145890067.0,47887138.0,140051221.0,15131398.0,140290828.0
140051221.0,142334755.0,141380382.0,140290828.0,143110926.0
141796120.0,141673255.0,47887138.0,143110926.0,142424847.0
141380382.0,49572647.0,142334755.0,117637906.0,117637906.0
47887138.0,143016745.0,141673255.0,141818643.0,141818643.0
142334755.0,142961451.0,49572647.0,145890067.0,145890067.0
141673255.0,139195183.0,143016745.0,140051221.0,140051221.0
49572647.0,145228592.0,139195183.0,141796120.0,141796120.0
143016745.0,140981043.0,145228592.0,141380382.0,141380382.0
142961451.0,130538297.0,140981043.0,47887138.0,47887138.0
139195183.0,54481722.0,130538297.0,142334755.0,142334755.0
145228592.0,131226429.0,54481722.0,141673255.0,141673255.0
140981043.0,23800643.0,141781821.0,49572647.0,49572647.0
130538297.0,142420808.0,131226429.0,142961451.0,143016745.0
54481722.0,128080716.0,143602500.0,139195183.0,142961451.0
141781821.0,145175376.0,23800643.0,145228592.0,139195183.0
131226429.0,139381586.0,142420808.0,140981043.0,145228592.0
-269501.0,141835091.0,79704907.0,130538297.0,140981043.0
143602500.0,145431380.0,128080716.0,141781821.0,54481722.0
23800643.0,141890392.0,145175376.0,131226429.0,131226429.0
142420808.0,-263330.0,139381586.0,143602500.0,-269501.0
128080716.0,146275172.0,141835091.0,23800643.0,143602500.0
139381586.0,145187687.0,145431380.0,142420808.0,23800643.0
141835091.0,143227767.0,141890392.0,146053962.0,142420808.0
145431380.0,143092604.0,-263330.0,128080716.0,79704907.0
141890392.0,143051652.0,136280932.0,145175376.0,128080716.0
-263330.0,143055752.0,146275172.0,139381586.0,145175376.0
136280932.0,142295947.0,145187687.0,141835091.0,139381586.0
146275172.0,140379020.0,143227767.0,145431380.0,141835091.0
145187687.0,129172365.0,143092604.0,141890392.0,145431380.0
143227767.0,145320848.0,143051652.0,-263330.0,141890392.0
143092604.0,63308691.0,143055752.0,136280932.0,-263330.0
143051652.0,132924310.0,142295947.0,146275172.0,136280932.0
143055752.0,140383127.0,140379020.0,145187687.0,146275172.0
142295947.0,125629335.0,129172365.0,143227767.0,145187687.0
140379020.0,145216408.0,145320848.0,143092604.0,143227767.0
129172365.0,16692121.0,63308691.0,143051652.0,143092604.0
145320848.0,139914139.0,132924310.0,143055752.0,143055752.0
63308691.0,140290974.0,140383127.0,142295947.0,142295947.0
132924310.0,139166625.0,125629335.0,140379020.0,140379020.0
140383127.0,143625132.0,145216408.0,145320848.0,129172365.0
125629335.0,139942830.0,16692121.0,63308691.0,145320848.0
145216408.0,21500849.0,139914139.0,132924310.0,63308691.0
16692121.0,128121780.0,140290974.0,140383127.0,132924310.0
139914139.0,135119796.0,139166625.0,125629335.0,140383127.0
140290974.0,142494644.0,143625132.0,145216408.0,125629335.0
139166625.0,141644731.0,139942830.0,16692121.0,145216408.0
143625132.0,140381116.0,21500849.0,139914139.0,16692121.0
139942830.0,141884347.0,128121780.0,140290974.0,139914139.0
21500849.0,135078847.0,135119796.0,139166625.0,140290974.0
128121780.0,141286333.0,142494644.0,143625132.0,139166625.0
135119796.0,140037058.0,141644731.0,139942830.0,143625132.0
142494644.0,140411842.0,141884347.0,21500849.0,139942830.0
141644731.0,49871816.0,141792190.0,128121780.0,21500849.0
140381116.0,142425033.0,141751232.0,135119796.0,128121780.0
141792190.0,135168978.0,141286333.0,142494644.0,135119796.0
135078847.0,130431954.0,140037058.0,141644731.0,142494644.0
141751232.0,142513106.0,140411842.0,140381116.0,141644731.0
141286333.0,139752406.0,141790149.0,141884347.0,141884347.0
140037058.0,144088022.0,49871816.0,141792190.0,141792190.0
140411842.0,141665241.0,142425033.0,135078847.0,135078847.0
141790149.0,124521438.0,141800395.0,141751232.0,141751232.0
49871816.0,144665568.0,135168978.0,141286333.0,141286333.0
142425033.0,141675490.0,140321746.0,140037058.0,140037058.0
141800395.0,53580773.0,130431954.0,140411842.0,141790149.0
135168978.0,23479281.0,142513106.0,141790149.0,49871816.0
140321746.0,142216178.0,139752406.0,49871816.0,142425033.0
130431954.0,141671413.0,144088022.0,142425033.0,141800395.0
142513106.0,136270837.0,141665241.0,141800395.0,135168978.0
139752406.0,139467768.0,124521438.0,135168978.0,140321746.0
144088022.0,48266231.0,144665568.0,140321746.0,130431954.0
141665241.0,-259076.0,141675490.0,130431954.0,142513106.0
124521438.0,144456705.0,53580773.0,142513106.0,139752406.0
144665568.0,145148932.0,23479281.0,139752406.0,144088022.0
141675490.0,143229958.0,142216178.0,144088022.0,141665241.0
53580773.0,146095116.0,141671413.0,141665241.0,124521438.0
23479281.0,142275600.0,136270837.0,124521438.0,144665568.0
142216178.0,141689878.0,139467768.0,144665568.0,141675490.0
141671413.0,145972247.0,-259076.0,141675490.0,53580773.0
136270837.0,141618202.0,144456705.0,53580773.0,23479281.0
139467768.0,142367771.0,145148932.0,23479281.0,142216178.0
48266231.0,139156515.0,143229958.0,142216178.0,141671413.0
-259076.0,140442663.0,146095116.0,141671413.0,136270837.0
144456705.0,145978409.0,142275600.0,136270837.0,15315958.0
145148932.0,143055917.0,141689878.0,15315958.0,139467768.0
139910149.0,129125423.0,145972247.0,139467768.0,48266231.0
146095116.0,143150129.0,141618202.0,48266231.0,-259076.0
142275600.0,143156276.0,142367771.0,-259076.0,144456705.0
141689878.0,142404663.0,140442663.0,144456705.0,145148932.0
145972247.0,143660087.0,145978409.0,145148932.0,143229958.0
141618202.0,143526974.0,143055917.0,139910149.0,146095116.0
142367771.0,142496838.0,129125423.0,143229958.0,142275600.0
139156515.0,141884488.0,143150129.0,146095116.0,141689878.0
140442663.0,139949129.0,143156276.0,142275600.0,145972247.0
145978409.0,141309003.0,142404663.0,141689878.0,141618202.0
143055917.0,141825103.0,143526974.0,145972247.0,142367771.0
129125423.0,139177041.0,142496838.0,141618202.0,139156515.0
143150129.0,143676497.0,139949129.0,142367771.0,140442663.0
143156276.0,142511193.0,141309003.0,139156515.0,145978409.0
142404663.0,143227994.0,141825103.0,140442663.0,143055917.0
143660087.0,140444763.0,139177041.0,145978409.0,129125423.0
143526974.0,140465244.0,140258386.0,143055917.0,143150129.0
142414916.0,146066522.0,73923667.0,129125423.0,143156276.0
142496838.0,140416100.0,143676497.0,143156276.0,142404663.0
141884488.0,139783269.0,143227994.0,142404663.0,143526974.0
139949129.0,141665383.0,140444763.0,143660087.0,142414916.0
141309003.0,141352041.0,140465244.0,143526974.0,142496838.0
141825103.0,55839850.0,146066522.0,142414916.0,139949129.0
139177041.0,126870635.0,140416100.0,142496838.0,141309003.0
73923667.0,141753453.0,141665383.0,141884488.0,139177041.0
143676497.0,140026997.0,55839850.0,139949129.0,140258386.0
142511193.0,139181174.0,126870635.0,141309003.0,143676497.0
143227994.0,139951224.0,141753453.0,141825103.0,142511193.0
140444763.0,141624440.0,140026997.0,139177041.0,143227994.0
140465244.0,139881594.0,139181174.0,140258386.0,140444763.0
146066522.0,139918456.0,139951224.0,73923667.0,140465244.0
140416100.0,141747324.0,141624440.0,143676497.0,146066522.0
139783269.0,145220732.0,139881594.0,142511193.0,140416100.0
141665383.0,145484922.0,139918456.0,143227994.0,141665383.0
55839850.0,139912320.0,141747324.0,140444763.0,55839850.0
126870635.0,141767808.0,145220732.0,140465244.0,126870635.0
141753453.0,143053953.0,145484922.0,146066522.0,141753453.0
140026997.0,141868165.0,139912320.0,140416100.0,140026997.0
139181174.0,145249414.0,141767808.0,139783269.0,139181174.0
139951224.0,143959181.0,143053953.0,141665383.0,139951224.0
141624440.0,139408526.0,141868165.0,141352041.0,141624440.0
139881594.0,138114194.0,145249414.0,55839850.0,139881594.0
139918456.0,139308192.0,143959181.0,126870635.0,139918456.0
141747324.0,-267093.0,139408526.0,141753453.0,141747324.0
145220732.0,138093741.0,138114194.0,140026997.0,145220732.0
15752318.0,128193710.0,139308192.0,139951224.0,15752318.0
145484922.0,145210542.0,-267093.0,141624440.0,145484922.0
139912320.0,142486705.0,138093741.0,139881594.0,139912320.0
141767808.0,145343669.0,128193710.0,139918456.0,141767808.0
143053953.0,144755899.0,145210542.0,141747324.0,143053953.0
141868165.0,140410045.0,142486705.0,145220732.0,141868165.0
145249414.0,138747073.0,145343669.0,15752318.0,145249414.0
143959181.0,143031494.0,144755899.0,145484922.0,139408526.0
139408526.0,128486600.0,140410045.0,139912320.0,138114194.0
138114194.0,129283274.0,138747073.0,141767808.0,139308192.0
139308192.0,139080909.0,143031494.0,143053953.0,-267093.0
