20220420_CMX_NB_azucaryendulzantes_W16,20220420_CMX_NB_tuberculos_W16,20220420_CMX_NB_granos_W16,20220420_CMX_NB_frutas_W16,20220420_CMX_NB_verduras_W16,20220420_CMX_NB_huevos_W16,20220420_CMX_NB_leches_W16,20220420_CMX_NB_vasoscontenedoresyplatos_W16,20220420_CMX_NB_detergentejabonylavatrastes_W16
141792190.0,142494467.0,139211477.0,142513106.0,143207736.0,-261442.0,145175376.0,141751232.0,136280932.0
135078847.0,140448516.0,139809493.0,139752406.0,143238458.0,143123137.0,141835091.0,141286333.0,145187687.0
141751232.0,15131398.0,143606486.0,141665241.0,141835579.0,143631042.0,141890392.0,140037058.0,143227767.0
140037058.0,140290828.0,138515160.0,144665568.0,138798398.0,145410753.0,136280932.0,140411842.0,143051652.0
140411842.0,143110926.0,142254818.0,53580773.0,142386498.0,141683396.0,146275172.0,141790149.0,142295947.0
141790149.0,142424847.0,143190756.0,136270837.0,138794315.0,143155908.0,145187687.0,49871816.0,129172365.0
49871816.0,117637906.0,143717093.0,15315958.0,139781453.0,146131653.0,143092604.0,142425033.0,145320848.0
142425033.0,141818643.0,142342887.0,48266231.0,126373202.0,141179593.0,143051652.0,140321746.0,63308691.0
141800395.0,145890067.0,143190761.0,144456705.0,140305750.0,146244300.0,142295947.0,130431954.0,132924310.0
135168978.0,140051221.0,141699818.0,145148932.0,140459350.0,138799823.0,129172365.0,142513106.0,125629335.0
140321746.0,141796120.0,140387054.0,139910149.0,139291998.0,141759183.0,145320848.0,139752406.0,16692121.0
142513106.0,141380382.0,136702703.0,143229958.0,141667679.0,143092433.0,63308691.0,144088022.0,139914139.0
139752406.0,47887138.0,146164469.0,146095116.0,143017315.0,140333778.0,132924310.0,141665241.0,140290974.0
141665241.0,142334755.0,141722369.0,142275600.0,140307821.0,143059664.0,125629335.0,124521438.0,139166625.0
124521438.0,141673255.0,142494467.0,141689878.0,142501233.0,139211477.0,145216408.0,53580773.0,143625132.0
141675490.0,49572647.0,140448516.0,145972247.0,141856116.0,139809493.0,16692121.0,23479281.0,139942830.0
23479281.0,143016745.0,142496517.0,139156515.0,103894391.0,138515160.0,140290974.0,15315958.0,128121780.0
142216178.0,139195183.0,15131398.0,145978409.0,43001219.0,142254818.0,139166625.0,48266231.0,135119796.0
