offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id,segment_behaviour,offer_type,supplier_discount
20240701_VCP_other_piloto_NB_carnevermelha_W27,other_piloto_NB_carnevermelha,8,true,01-07-2024,31-07-2024,0,1,778074,596023#483993#484001#596005,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_cervejas_W27,other_piloto_NB_cervejas,3,true,01-07-2024,31-07-2024,0,1,778075,430289#430294#430315#643679,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_destilados_W27,other_piloto_NB_destilados,8,true,01-07-2024,31-07-2024,0,1,778079,589475#589461#589479,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_graos_W27,other_piloto_NB_graos,8,true,01-07-2024,31-07-2024,0,1,778086,625321#554464#554461,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_leite_W27,other_piloto_NB_leite,4,true,01-07-2024,31-07-2024,0,1,778089,571519#430413,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_tuberculos_W27,other_piloto_NB_tuberculos,8,true,01-07-2024,31-07-2024,0,1,778101,434949#434919#434937#434935,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_azeitesoleosevinagres_W27,other_piloto_NB_azeitesoleosevinagres,5,true,01-07-2024,31-07-2024,0,1,778072,428399#438948#430797#430746#438939#623714,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_condimentos_W27,other_piloto_NB_condimentos,8,true,01-07-2024,31-07-2024,0,1,778076,539663#539654#592707#539618#539633#652093#539669#633713#539621#539675#652097#539624,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_outroslimpadores_W27,other_piloto_NB_outroslimpadores,8,true,01-07-2024,31-07-2024,0,1,778092,441511,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_legumes_W27,other_piloto_NB_legumes,8,true,01-07-2024,31-07-2024,0,1,778088,434957#435068#434903#434959#434897#435049,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_conservaseenlatados_W27,other_piloto_NB_conservaseenlatados,7,true,01-07-2024,31-07-2024,0,1,778077,633711#633725#633707#633729#509539#454804#454807#454813,INCLUDED,SUPER_DISCOUNT,0
