20220517_BOG_NB_tuberculos_W20,20220517_BOG_NB_verduras_W20,20220517_BOG_NB_frutas_W20,20220517_BOG_NB_huevos_W20,20220517_BOG_NB_aceitesygrasas_W20,20220517_BOG_NB_vasos_W20,20220517_BOG_NB_contenedores_W20,20220517_BOG_NB_papelytoallas_W20,20220517_BOG_NB_arroz_W20,20220517_BOG_NB_frutasjugo_W20,20220517_BOG_NB_bebidassinalcohol_W20
156516469.0,49856603.0,16048178.0,56049767.0,17907764.0,154173558.0,16048178.0,155074665.0,18341936.0,-229280.0,155074665.0
154173558.0,113524828.0,17907764.0,156369000.0,156303413.0,133300361.0,17907764.0,156516469.0,33767473.0,56049767.0,156516469.0
133300361.0,-229280.0,156303413.0,155074665.0,-212938.0,-212843.0,156303413.0,133300361.0,16048178.0,156369000.0,133300361.0
136577172.0,-221082.0,142565433.0,156516469.0,142565433.0,9765014.0,-212938.0,-212843.0,156303413.0,16400489.0,136577172.0
-212843.0,56049767.0,22020154.0,154173558.0,22020154.0,81969305.0,16465975.0,81969305.0,-212938.0,155074665.0,-212843.0
9765014.0,21733483.0,150945853.0,133300361.0,150945853.0,127565985.0,142565433.0,89981092.0,16465975.0,156516469.0,81969305.0
81969305.0,17457260.0,17850432.0,136577172.0,17850432.0,89981092.0,22020154.0,155304101.0,142565433.0,154173558.0,127565985.0
89981092.0,15540333.0,17907792.0,-212843.0,17907792.0,155304101.0,150945853.0,16040103.0,22020154.0,133300361.0,89981092.0
155304101.0,139698285.0,137977936.0,9765014.0,137977936.0,-229207.0,120651842.0,-229207.0,150945853.0,136577172.0,16040103.0
16040103.0,156516469.0,15302738.0,81969305.0,-237487.0,100286634.0,16703556.0,100286634.0,17850432.0,9765014.0,24084648.0
24084648.0,157753467.0,16687186.0,127565985.0,73146454.0,18727082.0,40624206.0,18727082.0,40624206.0,81969305.0,-229207.0
-229207.0,113647740.0,-253870.0,89981092.0,49856603.0,54771886.0,137977936.0,54771886.0,17907792.0,127565985.0,18727082.0
100286634.0,113582212.0,39936083.0,155304101.0,113524828.0,-229194.0,-253870.0,110411963.0,137977936.0,89981092.0,54771886.0
54771886.0,133300361.0,73146454.0,16040103.0,49766492.0,110411963.0,39936083.0,17907900.0,-253870.0,155304101.0,-229194.0
110411963.0,17457291.0,49856603.0,24084648.0,-229282.0,17907900.0,73146454.0,95289533.0,39936083.0,16040103.0,17907900.0
108429504.0,40198290.0,113524828.0,-229207.0,-229280.0,108429504.0,49856603.0,108429504.0,73146454.0,24084648.0,95289533.0
19660992.0,136577172.0,49766492.0,100286634.0,156524640.0,19660992.0,113524828.0,19660992.0,49856603.0,-229207.0,108429504.0
131580097.0,81969305.0,-229280.0,18727082.0,16572514.0,131580097.0,49766492.0,131580097.0,113524828.0,100286634.0,19660992.0
-212797.0,120676507.0,150757472.0,54771886.0,-221082.0,-212797.0,-229282.0,-212797.0,49766492.0,54771886.0,131580097.0
149422279.0,121757859.0,147300450.0,-229194.0,56049767.0,149422279.0,-229280.0,149422279.0,-229282.0,-229194.0,-212797.0
132055242.0,89981092.0,156524640.0,110411963.0,16400489.0,132055242.0,150757472.0,132055242.0,-229280.0,110411963.0,149422279.0
-229173.0,100286634.0,-221082.0,17907900.0,155074665.0,-212789.0,156524640.0,152600798.0,150757472.0,95289533.0,-212789.0
-212789.0,54771886.0,56049767.0,95289533.0,21733483.0,134217941.0,-237469.0,106266848.0,147300450.0,108429504.0,134217941.0
134217941.0,56402097.0,156369000.0,108429504.0,17457260.0,154042589.0,-221082.0,119226599.0,156524640.0,19660992.0,154042589.0
154042589.0,74490036.0,16400489.0,19660992.0,15540333.0,106266848.0,56049767.0,159580394.0,16572514.0,131580097.0,106266848.0
152600798.0,15573175.0,21733483.0,131580097.0,139698285.0,119226599.0,156369000.0,120914162.0,-221082.0,-212797.0,119226599.0
106266848.0,84910264.0,17457260.0,-212797.0,156516469.0,159580394.0,16400489.0,102596850.0,56049767.0,132055242.0,159580394.0
119226599.0,120692921.0,15540333.0,149422279.0,155099256.0,102596850.0,155074665.0,9748730.0,156369000.0,-229173.0,102596850.0
159580394.0,158572727.0,139698285.0,132055242.0,157753467.0,9748730.0,21733483.0,106578184.0,16400489.0,-212789.0,9748730.0
102596850.0,110411963.0,154173558.0,-229173.0,113647740.0,106578184.0,17457260.0,70893834.0,155074665.0,154042589.0,106578184.0
9748730.0,14409918.0,155099256.0,-212789.0,113582212.0,70893834.0,15540333.0,31146250.0,21733483.0,152600798.0,70893834.0
106578184.0,-220993.0,157245561.0,134217941.0,133300361.0,31146250.0,139698285.0,47022348.0,17457260.0,106266848.0,47022348.0
70893834.0,19660992.0,157753467.0,154042589.0,17457291.0,47022348.0,156516469.0,157417740.0,15540333.0,119226599.0,146850058.0
31146250.0,20422849.0,113647740.0,152600798.0,16228497.0,157417740.0,155099256.0,112951570.0,139698285.0,159580394.0,112951570.0
157417740.0,131580097.0,113582212.0,106266848.0,40198290.0,146850058.0,157245561.0,104317205.0,156516469.0,120914162.0,104317205.0
146850058.0,-212797.0,133300361.0,119226599.0,136577172.0,112951570.0,157753467.0,38879515.0,157245561.0,102596850.0,38879515.0
112951570.0,149422279.0,17457291.0,159580394.0,44376213.0,104317205.0,113647740.0,156320027.0,157753467.0,106578184.0,159858982.0
104317205.0,132055242.0,16228497.0,120914162.0,9765014.0,38879515.0,113582212.0,149324066.0,113647740.0,70893834.0,41582889.0
38879515.0,138748113.0,40198290.0,102596850.0,-212843.0,156320027.0,133300361.0,16384291.0,113582212.0,31146250.0,141951278.0
156320027.0,15114458.0,136577172.0,9748730.0,150233239.0,149324066.0,17457291.0,157008163.0,133300361.0,47022348.0,16417071.0
