20220517_BOG_NB_pollo_W20,20220517_BOG_NB_res_W20,20220517_BOG_NB_cerdo_W20,20220517_BOG_NB_pescadosymariscoscongelado_W20,20220517_BOG_NB_embutidos_W20
24084648.0,155304101.0,16040103.0,136577172.0,-212843.0
-229207.0,16040103.0,24084648.0,-212843.0,9765014.0
100286634.0,24084648.0,-229207.0,9765014.0,81969305.0
18727082.0,-229207.0,18727082.0,81969305.0,89981092.0
54771886.0,100286634.0,54771886.0,127565985.0,155304101.0
-229194.0,18727082.0,-229194.0,89981092.0,16040103.0
110411963.0,54771886.0,110411963.0,155304101.0,24084648.0
108429504.0,-229194.0,108429504.0,16040103.0,-229207.0
19660992.0,110411963.0,19660992.0,24084648.0,100286634.0
131580097.0,108429504.0,131580097.0,-229207.0,18727082.0
-212797.0,19660992.0,-212797.0,100286634.0,54771886.0
149422279.0,131580097.0,149422279.0,18727082.0,-229194.0
132055242.0,-212797.0,132055242.0,54771886.0,110411963.0
-229173.0,149422279.0,-212789.0,-229194.0,17907900.0
-212789.0,132055242.0,134217941.0,110411963.0,95289533.0
152600798.0,-212789.0,154042589.0,17907900.0,108429504.0
106266848.0,134217941.0,152600798.0,108429504.0,19660992.0
119226599.0,154042589.0,106266848.0,19660992.0,131580097.0
159580394.0,106266848.0,119226599.0,131580097.0,-212797.0
120914162.0,119226599.0,159580394.0,-212797.0,149422279.0
9748730.0,159580394.0,102596850.0,149422279.0,132055242.0
106578184.0,120914162.0,9748730.0,132055242.0,-229173.0
70893834.0,102596850.0,106578184.0,-212789.0,-212789.0
31146250.0,9748730.0,70893834.0,134217941.0,134217941.0
47022348.0,106578184.0,31146250.0,154042589.0,154042589.0
157417740.0,31146250.0,47022348.0,152600798.0,152600798.0
146850058.0,47022348.0,157417740.0,106266848.0,106266848.0
112951570.0,157417740.0,146850058.0,119226599.0,119226599.0
104317205.0,146850058.0,112951570.0,159580394.0,159580394.0
38879515.0,112951570.0,104317205.0,120914162.0,120914162.0
156320027.0,104317205.0,38879515.0,102596850.0,102596850.0
16384291.0,38879515.0,156320027.0,9748730.0,9748730.0
159858982.0,156320027.0,149324066.0,106578184.0,106578184.0
41582889.0,149324066.0,16384291.0,70893834.0,70893834.0
