20220517_BOG_NB_congelados,20220517_BOG_NB_aseoehigiene,20220517_BOG_NB_lacteosyhuevos,20220517_BOG_NB_desechables
15532408.0,125018359.0,54886782.0,53928193.0
-212615.0,9748730.0,15450493.0,-253692.0
116162940.0,53928193.0,39223682.0,106578184.0
18055549.0,-253692.0,155189634.0,70893834.0
54886782.0,106578184.0,136626562.0,146850058.0
15450493.0,31146250.0,17170822.0,-204530.0
39223682.0,47022348.0,-228984.0,130982160.0
155189634.0,-204530.0,139739529.0,-253679.0
136626562.0,130982160.0,110363023.0,112951570.0
17170822.0,-253679.0,109871505.0,148087058.0
-228984.0,112951570.0,44564882.0,104317205.0
139739529.0,148087058.0,16843153.0,-237288.0
110363023.0,104317205.0,-245355.0,156320027.0
109871505.0,-237288.0,17531289.0,126705948.0
44564882.0,38879515.0,126714266.0,149324066.0
16843153.0,156320027.0,15450527.0,16384291.0
17531289.0,126705948.0,88195488.0,157008163.0
126714266.0,149324066.0,148504993.0,159858982.0
148504993.0,16384291.0,159105446.0,-204506.0
157811108.0,159858982.0,146719165.0,-237272.0
159105446.0,80666918.0,18399692.0,19652905.0
133988778.0,-204506.0,112017870.0,113451307.0
24166831.0,-237272.0,113557979.0,47997229.0
53576120.0,130851114.0,18055645.0,15679800.0
146719165.0,113451307.0,155255265.0,-253635.0
151404992.0,19652905.0,15385058.0,126738752.0
18399692.0,47997229.0,47497701.0,-229054.0
112017870.0,141951278.0,56181231.0,-237243.0
113557979.0,15679800.0,43598319.0,-204475.0
18055645.0,15327548.0,117850614.0,30351687.0
155255265.0,120234304.0,16155127.0,-212663.0
110461410.0,126738752.0,150700538.0,-229045.0
15385058.0,-229054.0,-245254.0,18202959.0
47497701.0,15663427.0,30458370.0,120160593.0
104432105.0,43737410.0,-212479.0,42516831.0
43598319.0,147415363.0,23609866.0,97935711.0
117850614.0,-237243.0,132694538.0,133292384.0
150700538.0,30351687.0,134578702.0,-253595.0
113656321.0,-204475.0,127205903.0,143704422.0
-212479.0,-212663.0,156320270.0,147956081.0
132694538.0,-229045.0,132121108.0,138142070.0
134578702.0,38388046.0,128991764.0,15532408.0
127205903.0,18202959.0,134251030.0,22192505.0
156320270.0,120160593.0,-212458.0,-212615.0
14402063.0,139886935.0,118047263.0,147325307.0
132121108.0,42516831.0,160432673.0,116162940.0
128991764.0,97935711.0,118161959.0,18055549.0
134251030.0,-253595.0,98370090.0,135274877.0
