20220422_CMX_NB_verduras_W16,20220422_CMX_NB_frutas_W16,20220422_CMX_NB_tuberculos_W16
60063952.0,67371168.0,87687456.0
121274578.0,-261982.0,30998813.0
109904084.0,48005282.0,81527074.0
48824534.0,17596579.0,61538592.0
135069915.0,38994085.0,38207777.0
134086877.0,80543909.0,82247974.0
127533279.0,146931888.0,131596583.0
84115679.0,71205043.0,65470759.0
51871969.0,51871927.0,16122154.0
56262885.0,51773631.0,59703596.0
76021992.0,114294985.0,67371311.0
62587116.0,105611468.0,47579451.0
112984301.0,60063952.0,47907134.0
79102195.0,121274578.0,24772930.0
57770233.0,109904084.0,20054345.0
41713915.0,48824534.0,62587209.0
60063996.0,123371735.0,127271243.0
101089535.0,135069915.0,113508686.0
54886655.0,127533279.0,38273359.0
58163457.0,97157343.0,58851664.0
105480450.0,84115679.0,51577167.0
-261885.0,51871969.0,32702801.0
126943494.0,55836899.0,30998867.0
63635727.0,56262885.0,61538648.0
57770256.0,76021992.0,79429979.0
76448020.0,125010154.0,57082213.0
56394009.0,62587116.0,-261786.0
81068315.0,112984301.0,53674345.0
96993565.0,79102195.0,88015210.0
145228061.0,63308020.0,107413868.0
51314973.0,118456564.0,121831799.0
87687456.0,54165750.0,99811704.0
30998813.0,61669625.0,107020665.0
81527074.0,57770233.0,73597305.0
28737826.0,41713915.0,72614268.0
38207777.0,60063996.0,58261884.0
82247974.0,101089535.0,78643588.0
16122154.0,54886655.0,91750792.0
59703596.0,58163457.0,-261750.0
60784940.0,105480450.0,78578059.0
24019248.0,-261885.0,16122258.0
69304634.0,126943494.0,75563413.0
47579451.0,63635727.0,57082263.0
47907134.0,57770256.0,58851738.0
127271243.0,139231506.0,59113890.0
60784971.0,76448020.0,98369955.0
76513611.0,56394009.0,-261716.0
113508686.0,132808986.0,132776364.0
51577167.0,120848668.0,143589806.0
58851664.0,96993565.0,16843186.0
32702801.0,145228061.0,-261705.0
30998867.0,51314973.0,79561144.0
115638616.0,87687456.0,100270525.0
61538648.0,30998813.0,110166468.0
128745818.0,28737826.0,124518856.0
79429979.0,38207777.0,106299854.0
117408097.0,82247974.0,-261677.0
57082213.0,16122154.0,57999828.0
-261786.0,59703596.0,75629015.0
67371366.0,60784940.0,74318296.0
139166055.0,24019248.0,71107033.0
53674345.0,69304634.0,55706081.0
21135723.0,47579451.0,119341538.0
107413868.0,47907134.0,61669858.0
17400173.0,62587209.0,-261659.0
15106417.0,127271243.0,135135718.0
30441846.0,60784971.0,121831910.0
121831799.0,76513611.0,100794859.0
107020665.0,113508686.0,17695211.0
73597305.0,51577167.0,95748588.0
86868345.0,58851664.0,132710893.0
58261884.0,32702801.0,74711537.0
78610812.0,30998867.0,22020601.0
91750792.0,116818264.0,62456313.0
-261750.0,73924954.0,-261635.0
78578059.0,79429979.0,107086336.0
75563413.0,128745818.0,-261615.0
57082263.0,52461915.0,57082386.0
58851738.0,136675678.0,29229588.0
118129050.0,138576223.0,102695444.0
30376349.0,117408097.0,140313112.0
129597854.0,91390308.0,39256606.0
98369955.0,57082213.0,16843294.0
48660902.0,-261786.0,121963040.0
60195240.0,67371366.0,63636001.0
108954028.0,139166055.0,63308329.0
16843186.0,53674345.0,38404653.0
79561144.0,57770346.0,13042223.0
100270525.0,107413868.0,70844980.0
