20220422_MDE_NB_verduras_W16,20220422_MDE_NB_frutas_W16,20220422_MDE_NB_tuberculos_W16,20220422_MDE_NB_contenedores_W16,20220422_MDE_NB_vasos_W16,20220422_MDE_NB_cubiertosypitillos_W16,20220422_MDE_NB_platosybandejas_W16,20220422_MDE_NB_empaqueyenvoltura_W16,20220422_MDE_NB_bolsas_W16,20220422_MDE_NB_bebidassinalcohol_W16,20220422_MDE_NB_huevos_W16,20220422_MDE_NB_leches_W16,20220422_MDE_NB_cremas_W16,20220422_MDE_NB_derivadoslacteos_W16
129521954.0,124856608.0,131571978.0,118063436.0,124465514.0,124309821.0,139362607.0,119742766.0,120623401.0,118028496.0,139912111.0,126042462.0,120893752.0,119742766.0
119601445.0,141607201.0,126847242.0,119583059.0,118899059.0,118399295.0,135270702.0,139362607.0,119742766.0,124852436.0,139076539.0,137150822.0,142455096.0,139362607.0
138754344.0,129521954.0,120609034.0,120127828.0,121225595.0,129130817.0,125522226.0,135270702.0,139362607.0,129087701.0,147465156.0,119697767.0,118399295.0,135270702.0
118434091.0,136087849.0,120273164.0,125014361.0,121213311.0,130879809.0,135295283.0,125522226.0,135270702.0,124946646.0,136602571.0,123093354.0,129130817.0,125522226.0
135270702.0,118434091.0,118532366.0,140308825.0,120136068.0,144355651.0,120893752.0,135295283.0,125522226.0,145457367.0,135062478.0,124465514.0,130879809.0,135295283.0
135295283.0,135270702.0,118503696.0,126042462.0,120865160.0,118964551.0,142455096.0,142455096.0,135295283.0,138004695.0,125944784.0,121213297.0,144355651.0,120893752.0
147548468.0,125522226.0,120654100.0,137150822.0,128655758.0,133960008.0,124309821.0,124309821.0,120893752.0,131012825.0,118940625.0,118899059.0,118964551.0,142455096.0
142455096.0,135295283.0,117987604.0,119697767.0,122098068.0,118063436.0,118399295.0,118399295.0,142455096.0,129005786.0,129156058.0,135967095.0,121291079.0,124309821.0
118438201.0,124393779.0,127922454.0,123093354.0,121323927.0,119583059.0,129130817.0,129130817.0,124309821.0,118545304.0,124462043.0,121225595.0,133960008.0,118399295.0
118520124.0,120893752.0,120795415.0,124465514.0,127271322.0,120127828.0,130879809.0,130879809.0,118399295.0,129124574.0,124453853.0,140882302.0,118063436.0,129130817.0
