20220422_BOG_NB_tuberculos_W16,20220422_BOG_NB_verduras_W16,20220422_BOG_NB_frutas_W16,20220422_BOG_NB_frutasjugo_W16,20220422_BOG_NB_especias_W16
77791600.0,16384291.0,132055242.0,14483814.0,67567964.0
15532408.0,59801900.0,-229173.0,57213290.0,24183135.0
147325307.0,57901356.0,60063947.0,62783851.0,75497824.0
58261889.0,30802223.0,131629260.0,15270252.0,37355874.0
61538697.0,16417071.0,50364622.0,121962863.0,109314405.0
16122250.0,49316147.0,40075468.0,77791600.0,14483814.0
42992011.0,134021428.0,47677650.0,15532408.0,123339113.0
110363023.0,71139637.0,73859285.0,147325307.0,57213290.0
16843153.0,113049910.0,73498839.0,58261889.0,62783851.0
44564882.0,35848503.0,17531102.0,17170822.0,15270252.0
79102353.0,73990455.0,56262880.0,61538697.0,121962863.0
69009814.0,91717946.0,18383073.0,16122250.0,77791600.0
58851747.0,15270209.0,44073188.0,42992011.0,15532408.0
63046055.0,15663427.0,110002404.0,110363023.0,147325307.0
55706024.0,106332485.0,22773993.0,16843153.0,58261889.0
38994344.0,65470790.0,-229142.0,44564882.0,17170822.0
32702897.0,15663430.0,48267499.0,79102353.0,61538697.0
37618098.0,117309769.0,102596850.0,69009814.0,16122250.0
15991223.0,41845071.0,65241331.0,78643614.0,42992011.0
120717756.0,120160593.0,128024824.0,58851747.0,110363023.0
41353666.0,58294611.0,40894713.0,63046055.0,74383759.0
39977411.0,144408921.0,110592250.0,55706024.0,16843153.0
34996676.0,68256094.0,48660736.0,32702897.0,44564882.0
89457090.0,24183135.0,61669636.0,37618098.0,79102353.0
19071428.0,37355874.0,38535435.0,15991223.0,69009814.0
58130889.0,109314405.0,17596685.0,120717756.0,78643614.0
83624397.0,14483814.0,73957648.0,41353666.0,58851747.0
83427801.0,139755879.0,40894737.0,39977411.0,63046055.0
62587353.0,123339113.0,80544016.0,34996676.0,55706024.0
62587363.0,-229014.0,21299475.0,89457090.0,38994344.0
35455472.0,62783851.0,112951570.0,19071428.0,32702897.0
123208178.0,15270252.0,70844695.0,58130889.0,37618098.0
66847233.0,17400170.0,62292248.0,83624397.0,15991223.0
49676804.0,77791600.0,48562458.0,32506329.0,120717756.0
140837380.0,84443511.0,78774558.0,83427801.0,41353666.0
18612743.0,15532408.0,48562462.0,62587353.0,39977411.0
132121108.0,15630716.0,58851616.0,62587363.0,34996676.0
77136405.0,116162940.0,23003422.0,35455472.0,89457090.0
58393112.0,18055549.0,40206625.0,123208178.0,19071428.0
16122393.0,54886782.0,16384291.0,16122364.0,58130889.0
71107099.0,23363968.0,19267875.0,49676804.0,83624397.0
68813340.0,58261889.0,104300843.0,140837380.0,32506329.0
23396901.0,39223682.0,59801900.0,18612743.0,83427801.0
118161959.0,61538697.0,30802223.0,132121108.0,62587353.0
98370090.0,16122250.0,98337071.0,77136405.0,62587363.0
15925808.0,42992011.0,16417071.0,26346006.0,35455472.0
