20220420_CWB_NB_queijos_W16,20220420_CWB_NB_arroz_W16,20220420_CWB_NB_aucaradoantesedoces_W16,20220420_CWB_NB_farinhasemisturas_W16
129098593.0,143102931.0,118428631.0,135246756.0
139293537.0,118428631.0,134083544.0,109822890.0
116134754.0,134185946.0,134185946.0,145367985.0
135095141.0,136061919.0,136061919.0,132273075.0
121230182.0,124359652.0,124359652.0,115995572.0
135258983.0,143172584.0,143172584.0,132006837.0
116663145.0,143680489.0,143680489.0,128988085.0
127374185.0,142242792.0,143598570.0,111629238.0
139260779.0,132723690.0,142242792.0,127939513.0
123138927.0,118436845.0,132723690.0,115528634.0
120845174.0,127996911.0,118436845.0,141714364.0
124330874.0,109847539.0,127996911.0,142369726.0
115512194.0,121164787.0,109847539.0,141738944.0
117306247.0,116020219.0,121164787.0,128553924.0
127329162.0,138118140.0,116020219.0,139088850.0
117797777.0,120140799.0,138118140.0,139662291.0
143000472.0,128386048.0,120140799.0,138519508.0
139228061.0,127288322.0,128386048.0,123151317.0
143184798.0,112358404.0,112358404.0,138646484.0
135246756.0,110457863.0,110457863.0,143102931.0
134013862.0,121754631.0,121754631.0,118428631.0
109822890.0,135902217.0,135902217.0,134083544.0
145367985.0,115385356.0,115385356.0,134185946.0
132273075.0,132760588.0,132760588.0,136061919.0
115995572.0,132637713.0,132637713.0,124359652.0
132006837.0,120710165.0,120710165.0,143172584.0
128988085.0,129057813.0,129057813.0,143680489.0
111629238.0,139854869.0,139854869.0,143598570.0
127939513.0,121771035.0,121771035.0,142242792.0
115528634.0,134087709.0,134087709.0,132723690.0
141714364.0,135902238.0,135902238.0,118436845.0
142369726.0,139645984.0,139645984.0,127996911.0
115467200.0,142537765.0,123618344.0,109847539.0
141738944.0,123618344.0,134079531.0,121164787.0
128553924.0,138740783.0,138740783.0,116020219.0
139088850.0,139097135.0,139097135.0,138118140.0
139662291.0,125436977.0,125436977.0,120140799.0
138519508.0,145896497.0,118027317.0,128386048.0
123151317.0,118027317.0,127153205.0,127288322.0
138646484.0,127153205.0,131585080.0,132793346.0
143102931.0,131585080.0,117601338.0,112358404.0
118428631.0,117601338.0,123147324.0,110457863.0
134083544.0,123147324.0,139797565.0,121754631.0
134185946.0,139797565.0,119006271.0,135902217.0
136061919.0,119006271.0,135259200.0,115385356.0
124359652.0,112862273.0,112862273.0,132760588.0
143172584.0,145290307.0,145290307.0,132637713.0
143680489.0,111625287.0,111625287.0,120710165.0
143598570.0,127292488.0,127292488.0,129057813.0
142242792.0,117404746.0,117404746.0,139854869.0
132723690.0,138679370.0,138679370.0,121771035.0
118436845.0,134022221.0,134022221.0,134087709.0
127996911.0,133915730.0,118371410.0,135902238.0
109847539.0,118371410.0,113673300.0,139645984.0
121164787.0,113673300.0,134550610.0,142537765.0
116020219.0,134550610.0,121119830.0,123618344.0
138118140.0,121119830.0,139994201.0,134079531.0
120140799.0,139994201.0,133989467.0,138740783.0
128386048.0,133989467.0,139207772.0,139097135.0
132793346.0,139207772.0,135074911.0,125436977.0
112358404.0,135074911.0,123716705.0,145896497.0
110457863.0,123716705.0,117965922.0,118027317.0
121754631.0,117965922.0,125490275.0,131585080.0
115385356.0,140325988.0,140325988.0,117601338.0
132760588.0,142451813.0,142451813.0,123147324.0
132637713.0,109892709.0,109892709.0,139797565.0
120710165.0,109290609.0,109290609.0,119006271.0
129057813.0,136594547.0,134759538.0,135259200.0
139854869.0,120689777.0,136594547.0,112862273.0
121771035.0,136549496.0,120689777.0,111625287.0
134087709.0,146121850.0,136549496.0,127292488.0
135902238.0,131982459.0,146121850.0,117404746.0
139645984.0,123753595.0,137942148.0,138679370.0
123618344.0,137942148.0,115405960.0,134022221.0
134079531.0,132195462.0,134669452.0,133915730.0
138740783.0,115405960.0,135251084.0,118371410.0
139097135.0,123200650.0,142521489.0,113673300.0
125436977.0,134669452.0,143619221.0,134550610.0
145896497.0,135251084.0,115524760.0,121119830.0
118027317.0,142521489.0,143213723.0,137929818.0
117425206.0,143619221.0,116032673.0,133989467.0
127153205.0,127161497.0,145884325.0,139207772.0
131585080.0,143213723.0,140518567.0,135074911.0
117601338.0,116032673.0,117474472.0,123716705.0
123147324.0,143008932.0,121160873.0,117965922.0
139797565.0,145884325.0,127210672.0,140325988.0
119006271.0,140518567.0,141837490.0,142451813.0
135259200.0,117474472.0,143013042.0,109892709.0
112862273.0,121160873.0,124253363.0,109290609.0
145290307.0,127210672.0,141702324.0,134759538.0
111625287.0,141837490.0,123708602.0,136594547.0
127292488.0,143013042.0,145159354.0,120689777.0
117404746.0,124253363.0,127947966.0,136549496.0
134022221.0,145159354.0,125584575.0,146121850.0
133915730.0,127947966.0,125351108.0,131982459.0
118371410.0,125584575.0,117982422.0,123753595.0
113673300.0,139814088.0,142353627.0,137942148.0
134550610.0,115340492.0,136684765.0,132195462.0
121119830.0,117982422.0,132150502.0,123200650.0
139994201.0,142353627.0,120636649.0,134669452.0
137929818.0,136684765.0,123700462.0,142521489.0
133989467.0,132150502.0,124421364.0,143619221.0
135074911.0,120636649.0,111645940.0,115524760.0
123716705.0,123700462.0,118465783.0,127161497.0
117965922.0,131011826.0,110482682.0,143213723.0
125490275.0,124421364.0,137352446.0,116032673.0
140325988.0,118465783.0,139126017.0,143008932.0
142451813.0,110482682.0,127907073.0,145884325.0
109892709.0,137352446.0,132130052.0,140518567.0
109290609.0,139126017.0,115496203.0,117474472.0
134759538.0,127907073.0,134460688.0,121160873.0
136594547.0,132130052.0,135873809.0,130921643.0
120689777.0,115463439.0,113050902.0,127210672.0
136549496.0,134460688.0,139285785.0,141837490.0
146121850.0,133887253.0,129054000.0,124253363.0
131982459.0,113050902.0,138675506.0,141702324.0
123753595.0,139285785.0,124241209.0,145159354.0
137942148.0,145863964.0,124376377.0,127947966.0
132195462.0,129054000.0,137962812.0,125584575.0
115405960.0,124376377.0,127759682.0,139814088.0
123200650.0,137962812.0,121832771.0,115340492.0
134669452.0,127759682.0,138020170.0,117982422.0
135251084.0,121832771.0,130241874.0,142353627.0
142521489.0,138020170.0,118515027.0,136684765.0
