customer_id,microsegment,city
-257974,Fonda c/desayuno,CMX
-257918,Fonda s/desayuno,CMX
-257892,Fonda c/desayuno,CMX
-257888,Comida rápida,CMX
-257862,Fonda c/desayuno,CMX
-257831,Fonda c/desayuno,CMX
-257771,Fonda s/desayuno,CMX
-257740,Taquería en calle,CMX
-257709,Fonda c/desayuno,CMX
-257696,Comida rápida,CMX
-257635,Fonda c/desayuno,CMX
-257581,Fonda c/desayuno,CMX
-257492,Cafetería,CMX
-257490,Fonda c/desayuno,CMX
-257433,Fonda c/desayuno,CMX
-257406,Juguería/Comida saludable,CMX
-257365,Comida especializada,CMX
-257348,Fonda s/desayuno,CMX
-257338,Fonda c/desayuno,CMX
-257297,Fonda c/desayuno,CMX
-257293,Cafetería,CMX
-257198,Comida rápida,CMX
-257142,Cafetería,CMX
-257128,Fonda c/desayuno,CMX
-257114,Comida especializada,CMX
-257100,Cafetería,CMX
-257095,Cafetería,CMX
-257075,Fonda c/desayuno,CMX
-257070,Taquería en local,CMX
-257068,Fonda c/desayuno,CMX
-257057,Fonda c/desayuno,CMX
-257001,Comida rápida,CMX
-256966,Comida rápida,CMX
-256867,Fonda c/desayuno,CMX
-256784,Fonda c/desayuno,CMX
-256734,Juguería/Comida saludable,CMX
-256632,Fonda s/desayuno,CMX
-256586,Panadería/Pastelería,CMX
-256565,Fonda s/desayuno,CMX
-256517,Fonda c/desayuno,CMX
-256487,Comida rápida,CMX
-256474,Panadería/Pastelería,CMX
-256432,Fonda c/desayuno,CMX
-256416,Fonda c/desayuno,CMX
-256375,Comida especializada,CMX
-256353,Comida rápida,CMX
-256338,Fonda c/desayuno,CMX
-256333,Comida rápida,CMX
-256305,Fonda s/desayuno,CMX
-256298,Fonda c/desayuno,CMX
-256296,Comida rápida,CMX
-256267,Fonda c/desayuno,CMX
-256125,Fonda s/desayuno,CMX
-256075,Juguería/Comida saludable,CMX
-256045,Fonda c/desayuno,CMX
-256025,Comida especializada,CMX
-255986,Comida rápida,CMX
-255984,Taquería en local,CMX
-255929,Fonda c/desayuno,CMX
-255915,Fonda s/desayuno,CMX
-255843,Fonda s/desayuno,CMX
-255745,Fonda c/desayuno,CMX
-255715,Fonda c/desayuno,CMX
-255714,Comida rápida,CMX
-255699,Comida rápida,CMX
-255588,Fonda s/desayuno,CMX
-255546,Fonda c/desayuno,CMX
-255537,Fonda s/desayuno,CMX
-255525,Fonda c/desayuno,CMX
-255522,Taquería en local,CMX
-255492,Fonda c/desayuno,CMX
-255491,Fonda c/desayuno,CMX
-255445,Juguería/Comida saludable,CMX
-255443,Comida especializada,CMX
-255441,Fonda c/desayuno,CMX
-255378,Taquería en calle,CMX
-255346,Taquería en calle,CMX
-255326,Fonda s/desayuno,CMX
-255237,Juguería/Comida saludable,CMX
-255209,Fonda c/desayuno,CMX
-255195,Fonda c/desayuno,CMX
-255153,Comida especializada,CMX
-255143,Fonda c/desayuno,CMX
-255091,Fonda s/desayuno,CMX
-255038,Comida rápida,BOG
-255037,Panadería/Pastelería,BOG
-255005,Corrientazo c/desayuno,BOG
-254992,Corrientazo s/desayuno,BOG
-254989,Cafetería,BOG
-254982,Panadería/Pastelería,BOG
-254971,Panadería/Pastelería,BOG
-254911,Corrientazo s/desayuno,BOG
-254831,Corrientazo c/desayuno,BOG
-254830,Comida rápida,BOG
-254818,Panadería/Pastelería,BOG
-254798,Comida rápida,BOG
-254755,Corrientazo c/desayuno,BOG
-254692,Parrilla/Asadero,BOG
-254672,Parrilla/Asadero,BAQ
-254657,Empanadas/Arepas,BOG
-254489,Corrientazo s/desayuno,BOG
-254487,Panadería/Pastelería,BOG
-254435,Panadería/Pastelería,BOG
-254387,Corrientazo s/desayuno,BOG
-254375,Corrientazo s/desayuno,BOG
-254366,Corrientazo s/desayuno,BOG
-254173,Parrilla/Asadero,BOG
-254151,Comida rápida,BOG
-254136,Tienda/Restaurante,BAQ
-254102,Corrientazo c/desayuno,BOG
-254096,Parrilla/Asadero,BOG
-254087,Corrientazo c/desayuno,BOG
-253984,Comida de mar y Colombiana,BAQ
-253972,Panadería/Pastelería/Cafetería,BAQ
-253845,Parrilla/Asadero,BOG
-253844,Corrientazo s/desayuno,BAQ
-253757,Corrientazo s/desayuno,BOG
-253699,Panadería/Pastelería/Cafetería,BAQ
-253664,Panadería/Pastelería,BOG
-253572,Corrientazo s/desayuno,BAQ
-253563,Corrientazo s/desayuno,BOG
-253556,Comida rápida,BOG
-253528,Parrilla/Asadero,BOG
-253488,Comida especializada,BOG
-253472,Corrientazo s/desayuno,BOG
-253456,Corrientazo s/desayuno,BOG
-253427,Panadería/Pastelería,BOG
-253405,Corrientazo c/desayuno,BOG
-253390,Parrilla/Asadero,BOG
-253378,Corrientazo c/desayuno,BOG
-253318,Corrientazo c/desayuno,BOG
-253285,Corrientazo c/desayuno,BOG
-253243,Corrientazo s/desayuno,BOG
-253240,Comida de mar y Colombiana,BAQ
-253195,Comida especializada,BAQ
-253194,Comida rápida,BAQ
-253160,Panadería/Pastelería/Cafetería,BAQ
-253121,Comida especializada,BAQ
-253107,Comida especializada,BAQ
-253074,Corrientazo c/desayuno,BOG
-253065,Panadería/Pastelería,BOG
-253055,Corrientazo s/desayuno,BAQ
-253023,Comida especializada,BAQ
-253011,Corrientazo s/desayuno,BAQ
-253009,Comida rápida,BAQ
-253005,Corrientazo s/desayuno,BAQ
-252994,Corrientazo s/desayuno,BAQ
-252989,Parrilla/Asadero,BOG
-252971,Panadería/Pastelería/Cafetería,BAQ
-252970,Comida de mar y Colombiana,BAQ
-252966,Corrientazo s/desayuno,BAQ
-252954,Comida especializada,BAQ
-252785,Corrientazo c/desayuno,BOG
-252784,Comida de mar y Colombiana,BAQ
-252777,Comida especializada,BOG
-252748,Comida especializada,BOG
-252739,Corrientazo c/desayuno,BOG
-252737,Corrientazo s/desayuno,BOG
-252714,Empanadas/Arepas,BOG
-252696,Corrientazo c/desayuno,BOG
-252666,Comida rápida,BOG
-252654,Corrientazo c/desayuno,BOG
-252645,Corrientazo s/desayuno,BOG
-252641,Cafetería,BOG
-252636,Comida rápida,BOG
-252623,Panadería/Pastelería,BOG
-252618,Panadería/Pastelería,BOG
-252612,Comida especializada,BOG
-252595,Corrientazo c/desayuno,BOG
-252587,Corrientazo s/desayuno,BOG
-252564,Comida especializada,BOG
-252544,Parrilla/Asadero,BOG
-252541,Comida especializada,BOG
-252529,Corrientazo s/desayuno,BOG
-252511,Corrientazo c/desayuno,BOG
-252503,Corrientazo c/desayuno,BOG
-252488,Cafetería,BOG
-252477,Corrientazo s/desayuno,BOG
-252466,Corrientazo s/desayuno,BOG
-252464,Comida rápida,BOG
-252448,Comida especializada,BOG
-252437,Corrientazo c/desayuno,BOG
-252434,Comida rápida,BOG
-252386,Cafetería,BOG
-252373,Panadería/Pastelería,BOG
-252368,Corrientazo s/desayuno,BOG
-252362,Corrientazo c/desayuno,BOG
-252345,Comida rápida,BOG
-252333,Corrientazo s/desayuno,BOG
-252331,Panadería/Pastelería/Cafetería,BAQ
-252312,Corrientazo c/desayuno,BOG
-252305,Parrilla/Asadero,BOG
-252263,Comida especializada,BOG
-252257,Cafetería,BOG
-252249,Cafetería,BOG
-252246,Panadería/Pastelería/Cafetería,BAQ
-252220,Corrientazo s/desayuno,BOG
-252205,Parrilla/Asadero,BOG
-252183,Corrientazo c/desayuno,BOG
-252180,Corrientazo s/desayuno,BOG
-252169,Fritos,BAQ
-252160,Comida rápida,BAQ
-252152,Corrientazo s/desayuno,BOG
-252124,Corrientazo s/desayuno,BOG
-252123,Panadería/Pastelería,BOG
-252096,Corrientazo c/desayuno,BOG
-252083,Corrientazo c/desayuno,BOG
-252078,Panadería/Pastelería,BOG
-252075,Panadería/Pastelería,BOG
-252064,Corrientazo c/desayuno,BOG
-252044,Comida rápida,BOG
-252041,Panadería/Pastelería,BOG
-252038,Comida especializada,BAQ
-252031,Corrientazo c/desayuno,BOG
-252018,Corrientazo s/desayuno,BOG
-252017,Corrientazo c/desayuno,BOG
-252016,Panadería/Pastelería,BOG
-252001,Empanadas/Arepas,BOG
-251994,Corrientazo c/desayuno,BOG
-251990,Comida rápida,BOG
-251981,Empanadas/Arepas,BOG
-251972,Corrientazo s/desayuno,BOG
-251961,Empanadas/Arepas,BOG
-251960,Corrientazo c/desayuno,BOG
-251957,Comida especializada,BOG
-251955,Panadería/Pastelería,BOG
-251948,Comida especializada,BOG
-251945,Comida de mar y Colombiana,BAQ
-251931,Corrientazo s/desayuno,BOG
-251929,Comida rápida,BOG
-251917,Corrientazo c/desayuno,BOG
-251912,Comida especializada,BOG
-251897,Comida especializada,BOG
-251867,Panadería/Pastelería,BOG
-251862,Corrientazo c/desayuno,BOG
-251851,Parrilla/Asadero,BOG
-251822,Comida especializada,BAQ
-251819,Comida especializada,BAQ
-251802,Panadería/Pastelería,BOG
-251795,Comida especializada,BAQ
-251745,Corrientazo c/desayuno,BOG
-251730,Comida de mar y Colombiana,BAQ
-251708,Panadería/Pastelería,BOG
-251660,Cafetería,BOG
-251641,Corrientazo c/desayuno,BOG
-251609,Corrientazo c/desayuno,BOG
-251592,Cafetería,BOG
-251536,Empanadas/Arepas,BOG
-251520,Comida rápida,BOG
-251480,Corrientazo c/desayuno,BOG
-251448,Comida rápida,BOG
-251426,Comida rápida,BOG
-251407,Corrientazo s/desayuno,BOG
-251406,Corrientazo c/desayuno,BOG
-251398,Corrientazo c/desayuno,BOG
-251365,Comida rápida,BAQ
-251352,Comida rápida,BOG
-251324,Comida rápida,BOG
-251274,Panadería/Pastelería,BOG
-251211,Panadería/Pastelería/Cafetería,BAQ
-251185,Comida especializada,BOG
-251176,Corrientazo s/desayuno,BOG
-251156,Corrientazo c/desayuno,BOG
-251137,Comida especializada,BAQ
-251134,Corrientazo s/desayuno,BOG
-251088,Comida especializada,BOG
-251062,Panadería/Pastelería,BOG
-251028,Comida rápida,BOG
-251008,Corrientazo s/desayuno,BOG
-250998,Corrientazo s/desayuno,BOG
-250997,Corrientazo c/desayuno,BOG
-250993,Corrientazo c/desayuno,BOG
-250991,Corrientazo c/desayuno,BOG
-250984,Comida especializada,BAQ
-250982,Comida rápida,BOG
-250968,Corrientazo s/desayuno,BOG
-250952,Cafetería,BOG
-250937,Panadería/Pastelería,BOG
-250902,Comida rápida,BOG
-250855,Cafetería,BOG
-250800,Parrilla/Asadero,BOG
-250792,Cafetería,BOG
-250777,Corrientazo c/desayuno,BOG
-250745,Corrientazo c/desayuno,BOG
-250735,Corrientazo c/desayuno,BOG
-250723,Parrilla/Asadero,BOG
-250701,Comida rápida,BOG
-250615,Comida rápida,BOG
-250578,Corrientazo s/desayuno,BOG
-250547,Empanadas/Arepas,BOG
-250534,Comida especializada,BAQ
-250533,Cafetería,BOG
-250528,Comida de mar y Colombiana,BAQ
-250512,Panadería/Pastelería,BOG
-250509,Panadería/Pastelería,BOG
-250454,Parrilla/Asadero,BOG
-250437,Panadería/Pastelería,BOG
-250422,Corrientazo s/desayuno,BOG
-250417,Panadería/Pastelería,BOG
-250408,Corrientazo c/desayuno,BOG
-250402,Comida rápida,BAQ
-250371,Corrientazo c/desayuno,BOG
-250356,Corrientazo s/desayuno,BOG
-250354,Corrientazo s/desayuno,BOG
-250350,Panadería/Pastelería,BOG
-250332,Cafetería,BOG
-250315,Corrientazo s/desayuno,BOG
-250282,Empanadas/Arepas,BOG
-250261,Corrientazo s/desayuno,BOG
-250246,Parrilla/Asadero,BOG
-250236,Cafetería,BOG
-250230,Comida rápida,BOG
-250209,Comida especializada,BAQ
-250203,Corrientazo c/desayuno,BOG
-250202,Corrientazo s/desayuno,BOG
-250180,Corrientazo c/desayuno,BOG
-250154,Panadería/Pastelería/Cafetería,BAQ
-250150,Comida rápida,BOG
-250139,Comida especializada,BOG
-250069,Panadería/Pastelería,BOG
-250038,Corrientazo c/desayuno,BOG
-250028,Corrientazo s/desayuno,BOG
-250025,Corrientazo s/desayuno,BOG
-250019,Corrientazo c/desayuno,BOG
-250014,Comida especializada,BOG
-250008,Corrientazo c/desayuno,BOG
-249984,Corrientazo c/desayuno,BOG
-249979,Panadería/Pastelería,BOG
-249974,Corrientazo c/desayuno,BOG
-249973,Corrientazo c/desayuno,BOG
-249950,Comida rápida,BOG
-249916,Corrientazo c/desayuno,BOG
-249914,Comida rápida,BOG
-249894,Comida especializada,BOG
-249878,Corrientazo c/desayuno,BOG
-249852,Panadería/Pastelería,BOG
-249827,Panadería/Pastelería,BOG
-249825,Comida rápida,BOG
-249803,Corrientazo c/desayuno,BOG
-249778,Comida especializada,BOG
-249777,Comida rápida,BOG
-249743,Panadería/Pastelería/Cafetería,BAQ
-249738,Panadería/Pastelería,BOG
-249737,Panadería/Pastelería,BOG
-249731,Comida rápida,BOG
-249649,Comida rápida,BOG
-249642,Comida especializada,BAQ
-249635,Corrientazo c/desayuno,BOG
-249632,Comida especializada,BOG
-249610,Comida de mar y Colombiana,BAQ
-249583,Panadería/Pastelería,BOG
-249538,Corrientazo s/desayuno,BOG
-249536,Comida rápida,BAQ
-249510,Panadería/Pastelería,BOG
-249502,Comida rápida,BAQ
-249478,Corrientazo c/desayuno,BOG
-249473,Empanadas/Arepas,BOG
-249449,Corrientazo s/desayuno,BAQ
-249402,Parrilla/Asadero,BOG
-249394,Comida rápida,BOG
-249373,Corrientazo c/desayuno,BOG
-249364,Comida especializada,BOG
-249363,Corrientazo s/desayuno,BAQ
-249360,Corrientazo s/desayuno,BAQ
-249337,Empanadas/Arepas,BOG
-249330,Corrientazo s/desayuno,BOG
-249321,Corrientazo s/desayuno,BOG
-249306,Empanadas/Arepas,BOG
-249305,Comida rápida,BOG
-249296,Panadería/Pastelería/Cafetería,BAQ
-249273,Panadería/Pastelería/Cafetería,BAQ
-249271,Comida rápida,BOG
-249242,Corrientazo s/desayuno,BOG
-249233,Panadería/Pastelería/Cafetería,BAQ
-249208,Cafetería,BOG
-249202,Corrientazo s/desayuno,BOG
-249196,Panadería/Pastelería,BOG
-249172,Empanadas/Arepas,BOG
-249154,Comida rápida,BOG
-249135,Corrientazo s/desayuno,BOG
-249108,Corrientazo s/desayuno,BOG
-249087,Panadería/Pastelería,BOG
-249085,Corrientazo c/desayuno,BOG
-249046,Comida rápida,BOG
-249042,Corrientazo c/desayuno,BOG
-248999,Comida de mar y Colombiana,BAQ
-248979,Corrientazo c/desayuno,BOG
-248938,Panadería/Pastelería/Cafetería,BAQ
-248899,Panadería/Pastelería/Cafetería,BAQ
-248894,Corrientazo s/desayuno,BAQ
-248893,Comida especializada,BAQ
-248886,Comida especializada,BAQ
-248846,Parrilla/Asadero,BOG
-248842,Tienda/Restaurante,BAQ
-248838,Comida especializada,BAQ
-248826,Corrientazo s/desayuno,BAQ
-248782,Comida especializada,BAQ
-248768,Panadería/Pastelería/Cafetería,BAQ
-248681,Corrientazo s/desayuno,BAQ
-248660,Tienda/Restaurante,BAQ
-248633,Panadería/Pastelería/Cafetería,BAQ
-248621,Corrientazo s/desayuno,BAQ
-248620,Comida especializada,BAQ
-248618,Fritos,BAQ
-248615,Panadería/Pastelería/Cafetería,BAQ
-248610,Comida especializada,BAQ
-248538,Comida especializada,BAQ
-248512,Corrientazo s/desayuno,BAQ
-248511,Comida especializada,BAQ
-248510,Tienda/Restaurante,BAQ
-248494,Empanadas/Arepas,BOG
-248481,Comida especializada,BAQ
-248462,Corrientazo s/desayuno,BAQ
-248455,Corrientazo s/desayuno,BAQ
-248436,Corrientazo s/desayuno,BAQ
-248422,Corrientazo s/desayuno,BAQ
-248410,Corrientazo s/desayuno,BAQ
-248399,Corrientazo s/desayuno,BAQ
-248397,Panadería/Pastelería/Cafetería,BAQ
-248396,Corrientazo s/desayuno,BAQ
-248387,Comida especializada,BAQ
-248355,Empanadas/Arepas,BOG
-248341,Corrientazo s/desayuno,BAQ
