20220420_CWB_NB_tuberculos_W16,20220420_CWB_NB_verduras_W16,20220420_CWB_NB_frutas_W16,20220420_CWB_NB_legumes_W16,20220420_CWB_NB_leite_W16,20220420_CWB_NB_ovos_W16,20220420_CWB_NB_detergentesabaoelava-louas_W16,20220420_CWB_NB_feijao_W16
143625520.0,143535069.0,,,139685311.0,141600156.0,141646310.0,143048195.0
143090481.0,145531367.0,,,124375494.0,142355872.0,145531367.0,145282567.0
139652915.0,142242792.0,,,142277068.0,143503779.0,143574507.0,143610378.0
139090231.0,143680489.0,,,145861073.0,143175079.0,138523120.0,141623821.0
145434429.0,139657193.0,,,141596119.0,140351918.0,145841650.0,140179987.0
135232323.0,143574507.0,,,141646310.0,139713972.0,145352179.0,142186005.0
145036103.0,138523120.0,,,145531367.0,139685311.0,121226748.0,139906587.0
135319368.0,146062320.0,,,143574507.0,124375494.0,143048195.0,133105180.0
141776713.0,145352179.0,,,138523120.0,139077062.0,143610378.0,145191453.0
146153809.0,,,,145841650.0,142277068.0,141623821.0,143141406.0
118515027.0,,,,145352179.0,145861073.0,127414798.0,141858336.0
140333911.0,,,,121226748.0,141596119.0,142338578.0,143646255.0
145139543.0,,,,143048195.0,146084314.0,140179987.0,139775544.0
141608793.0,,,,145282567.0,143007197.0,141757971.0,145400379.0
142951774.0,,,,143610378.0,141646310.0,142186005.0,138223163.0
145234786.0,,,,141623821.0,145531367.0,139906587.0,142409283.0
145873774.0,,,,127414798.0,143574507.0,145191453.0,143649351.0
143519086.0,,,,140179987.0,138523120.0,143141406.0,141717063.0
142966127.0,,,,142186005.0,145841650.0,141858336.0,142409291.0
140373361.0,,,,139906587.0,145352179.0,140303916.0,142254669.0
141602676.0,,,,145191453.0,121226748.0,143646255.0,143587921.0
139887990.0,,,,141858336.0,143048195.0,139775544.0,142217811.0
140402038.0,,,,140303916.0,145282567.0,145400379.0,141811284.0
140347262.0,,,,143646255.0,143610378.0,138223163.0,140352085.0
139101573.0,,,,139775544.0,141623821.0,142409283.0,140236381.0
140271495.0,,,,138223163.0,127414798.0,143649351.0,143076968.0
132030348.0,,,,142409283.0,142338578.0,141717063.0,146219630.0
124227481.0,,,,143649351.0,140179987.0,142409291.0,145864304.0
141600156.0,,,,141717063.0,141757971.0,142254669.0,141875831.0
139228061.0,,,,142409291.0,142186005.0,143587921.0,135917175.0
137621405.0,,,,142254669.0,139906587.0,142217811.0,141667962.0
135002017.0,,,,143587921.0,133105180.0,141811284.0,141568635.0
143503779.0,,,,142217811.0,143141406.0,140352085.0,142458494.0
143175079.0,,,,141811284.0,141858336.0,143521370.0,143663744.0
143961002.0,,,,140352085.0,140303916.0,140236381.0,142436993.0
140244910.0,,,,143521370.0,143646255.0,143076968.0,142970498.0
143568815.0,,,,146219630.0,139775544.0,146219630.0,143138435.0
145367985.0,,,,145864304.0,145400379.0,145864304.0,143497862.0
142969778.0,,,,141875831.0,138223163.0,141875831.0,146036368.0
141819316.0,,,,135917175.0,142409283.0,135917175.0,142455448.0
143126457.0,,,,141667962.0,143649351.0,141667962.0,140389017.0
141714364.0,,,,141568635.0,141717063.0,141568635.0,145121946.0
