20220325_CWB_NB_tuberculos_W12,20220325_CWB_NB_verduras_W12,20220325_CWB_NB_frutas_W12,20220325_CWB_NB_legumes_W12,20220325_CWB_NB_leite_W12,20220325_CWB_NB_ovos_W12,20220325_CWB_NB_detergentesabaoelava-louas_W12,20220325_CWB_NB_feijao_W12
123019786.0,121164305.0,115353830.0,110491360.0,125364718.0,118460742.0,123789765.0,123019786.0
112804380.0,112804380.0,132150502.0,114131171.0,121180659.0,110360903.0,126382536.0,124787213.0
117938723.0,116419102.0,113573607.0,115353830.0,113000968.0,123572552.0,112880074.0,116439577.0
123193894.0,127810082.0,120636649.0,113573607.0,123019786.0,116377929.0,127392202.0,112804380.0
117367338.0,117938723.0,112815849.0,112815849.0,124787213.0,126812496.0,109834702.0,117938723.0
110484015.0,120758820.0,116643563.0,116467948.0,121164305.0,121899345.0,125065679.0,120758820.0
110567986.0,123193894.0,116467948.0,125598958.0,109267474.0,116572513.0,128965077.0,123193894.0
123157044.0,126702119.0,109841138.0,109841138.0,112347668.0,117508472.0,112282078.0,117246511.0
116474423.0,121807400.0,131011826.0,115340022.0,116419102.0,109828475.0,116009439.0,110567986.0
123660855.0,117367338.0,118352116.0,118465783.0,117938723.0,131410304.0,124307935.0,116474423.0
130734658.0,115368494.0,115340022.0,110482682.0,126702119.0,128481668.0,116117986.0,132252217.0
110367300.0,110484015.0,118465783.0,120672511.0,121807400.0,120816008.0,116376038.0,130734658.0
116343370.0,110567986.0,110482682.0,110538498.0,117367338.0,115466638.0,128027115.0,111827523.0
117529165.0,123157044.0,121736445.0,112236290.0,117928493.0,115487120.0,118041074.0,110367300.0
115563089.0,116474423.0,120672511.0,116029189.0,110484015.0,123146638.0,121180659.0,131111497.0
115589722.0,123660855.0,116025601.0,124793608.0,123157044.0,113043854.0,118409721.0,116343370.0
117439070.0,116034111.0,115477762.0,111832842.0,116474423.0,127181198.0,113000968.0,117529165.0
127179372.0,130734658.0,125516547.0,125351698.0,132252217.0,123097495.0,117484042.0,115563089.0
112376431.0,111827523.0,110538498.0,128973076.0,111827523.0,127377820.0,123019786.0,115589722.0
111714928.0,110367300.0,112236290.0,132167957.0,131111497.0,112247204.0,121164305.0,114143852.0
123732596.0,117529165.0,115357443.0,111726870.0,116343370.0,109306277.0,112347668.0,111714928.0
124412541.0,115563089.0,116029189.0,127893782.0,117529165.0,116189605.0,112804380.0,117277300.0
115561090.0,124346961.0,124793608.0,118492437.0,115563089.0,112376232.0,117938723.0,123732596.0
124828296.0,115589722.0,111832842.0,113050902.0,126747225.0,128577969.0,123193894.0,112323200.0
127197833.0,127179372.0,115411725.0,117321498.0,117439070.0,114166207.0,126702119.0,124971649.0
116042380.0,112376431.0,114125583.0,112224027.0,112376431.0,111772097.0,117367338.0,115561090.0
109255323.0,111714928.0,125351698.0,123651877.0,111714928.0,117287363.0,110484015.0,124828296.0
117807772.0,123595378.0,109821203.0,117825832.0,123595378.0,110578116.0,117246511.0,127197833.0
116624029.0,123732596.0,128973076.0,110513450.0,117277300.0,123789765.0,110567986.0,116042380.0
116822686.0,124412541.0,132167957.0,115336703.0,124971649.0,126382536.0,116474423.0,109255323.0
117842592.0,112323200.0,111726870.0,127200045.0,124828296.0,112880074.0,116034111.0,117807772.0
