20220325_CWB_NB_bebidas,20220325_CWB_NB_laticinioseovos,20220325_CWB_NB_limpezaehigiene,20220325_CWB_NB_descartaveis
124779407.0,112331792.0,114179019.0,128600887.0
115487120.0,120710165.0,118428631.0,123630394.0
127923604.0,121771035.0,123784163.0,111758140.0
109317532.0,111791145.0,118436845.0,118471486.0
110476193.0,115575850.0,127996911.0,116577088.0
127236002.0,125436977.0,109847539.0,123177798.0
109306277.0,117601338.0,121164787.0,118465352.0
112376232.0,119006271.0,116020219.0,123806536.0
117246889.0,109816902.0,117320704.0,110381907.0
109822890.0,111625287.0,112358404.0,113077081.0
112306093.0,115391562.0,110457863.0,115510110.0
115995572.0,112815179.0,115385356.0,115526496.0
117319102.0,113396816.0,129057813.0,116083554.0
114166207.0,113673300.0,121771035.0,125037411.0
127911874.0,127290452.0,125623335.0,110537574.0
109266883.0,121119830.0,115575850.0,123138927.0
117245381.0,123182166.0,118027317.0,120845174.0
128374725.0,125480031.0,117601338.0,124330874.0
126382536.0,123716705.0,119006271.0,121809787.0
112880074.0,117965922.0,109816902.0,120707964.0
127917003.0,109892709.0,111625287.0,124939135.0
109834702.0,123173996.0,115391562.0,115512194.0
132060636.0,117951597.0,112815179.0,116726671.0
112282078.0,109290609.0,113396816.0,124779407.0
120708577.0,120689777.0,118371410.0,125451152.0
116117986.0,131982459.0,113673300.0,129112977.0
124417509.0,115524760.0,116259926.0,116345755.0
112977382.0,127161497.0,125480031.0,110476193.0
116551655.0,116032673.0,123112544.0,117246889.0
118436845.0,118488235.0,123716705.0,109822890.0
113642989.0,127210672.0,117965922.0,115995572.0
109847539.0,124253363.0,109892709.0,116081588.0
121164787.0,123116727.0,117951597.0,111629238.0
110460412.0,117255355.0,109290609.0,132006837.0
115496957.0,125584575.0,114162828.0,127939513.0
,115432644.0,115524760.0,115528634.0
,125351108.0,116032673.0,128553924.0
,117902546.0,125496482.0,123657159.0
,117982422.0,117474472.0,114179019.0
,117996759.0,127210672.0,118428631.0
,116554971.0,124253363.0,123784163.0
,127802587.0,123708602.0,124359652.0
,110513375.0,125351108.0,118436845.0
,111762656.0,116100298.0,127996911.0
,121277670.0,124234959.0,109847539.0
,131011826.0,117982422.0,121164787.0
,118465783.0,117996759.0,116020219.0
,110482682.0,116554971.0,117791743.0
,121748733.0,127802587.0,117320704.0
,121736445.0,110513375.0,127288322.0
,127907073.0,121277670.0,112358404.0
,115477762.0,120636649.0,110457863.0
,111619334.0,123700462.0,121754631.0
,109821203.0,111645940.0,115385356.0
,118492437.0,118465783.0,120710165.0
,113050902.0,110482682.0,129057813.0
,112799011.0,121748733.0,117414935.0
,125443369.0,121736445.0,116657184.0
,110513450.0,127907073.0,125623335.0
,124376377.0,115477762.0,123618344.0
,123198785.0,115496203.0,115575850.0
,121851203.0,115463439.0,125436977.0
,125373764.0,109821203.0,118027317.0
,120573253.0,118492437.0,117425206.0
,121832771.0,113050902.0,126819385.0
,131525955.0,125443369.0,117601338.0
,130241874.0,110513450.0,124755002.0
,109868397.0,129054000.0,123147324.0
,124210543.0,124241209.0,119006271.0
,124255603.0,123198785.0,112862273.0
,124317045.0,127759682.0,109816902.0
,124370302.0,121832771.0,111625287.0
,109823370.0,131525955.0,117404746.0
,110486926.0,130241874.0,115391562.0
,127923604.0,121314654.0,112815179.0
