20220407_MDE_NB_bebidassinalcohol_W14,20220407_MDE_NB_vasos_W14,20220407_MDE_NB_cubiertosypitillos_W14,20220407_MDE_NB_contenedores_W14,20220407_MDE_NB_platosybandejas_W14,20220407_MDE_NB_empaqueyenvoltura_W14,20220407_MDE_NB_verduras_W14,20220407_MDE_NB_frutas_W14,20220407_MDE_NB_tuberculos_W14,20220407_MDE_NB_huevos_W14,20220407_MDE_NB_leches_W14,20220407_MDE_NB_cremas_W14,20220407_MDE_NB_derivadoslacteos_W14
127361196.0,117977246.0,121827517.0,119660804.0,118415544.0,121827517.0,120056146.0,129124574.0,132684036.0,118415544.0,134140103.0,126771381.0,118415544.0
117973164.0,124862623.0,119644356.0,125530372.0,121827517.0,117956799.0,119583059.0,120621293.0,120121609.0,134510777.0,128970955.0,118415544.0,121827517.0
126879917.0,125057182.0,121159878.0,131571978.0,117956799.0,119644356.0,120127828.0,135065840.0,131571978.0,124442812.0,132694239.0,121827517.0,117956799.0
117995690.0,128975011.0,134140103.0,127922454.0,119644356.0,121159878.0,130894165.0,132260081.0,126847242.0,121827517.0,120955107.0,119644356.0,119644356.0
124801203.0,118528163.0,128970955.0,120795415.0,121159878.0,134140103.0,118090070.0,125470962.0,120609034.0,138758334.0,135065840.0,121159878.0,121159878.0
131012790.0,134129830.0,132694239.0,120762648.0,134140103.0,128970955.0,128739671.0,128536827.0,118532366.0,119644356.0,132260081.0,134140103.0,134140103.0
132135095.0,119750822.0,120955107.0,126791970.0,128970955.0,132694239.0,125014361.0,125530372.0,120654100.0,121159878.0,128536827.0,128970955.0,128970955.0
118415544.0,128389287.0,135065840.0,120623401.0,132694239.0,120955107.0,137150822.0,132684036.0,117987604.0,120285385.0,123891966.0,132694239.0,132694239.0
134510777.0,136638632.0,132260081.0,135270702.0,120955107.0,135065840.0,135973230.0,120121609.0,127922454.0,128407756.0,124940547.0,120955107.0,120955107.0
124442812.0,129071270.0,126800116.0,135295283.0,135065840.0,132260081.0,120121718.0,126847242.0,120795415.0,124852436.0,119660804.0,135065840.0,135065840.0
120109245.0,127819947.0,128536827.0,120893752.0,132260081.0,126800116.0,121225595.0,120609034.0,120762648.0,131012825.0,117981445.0,132260081.0,132260081.0
119644356.0,127361196.0,123891966.0,118399295.0,126800116.0,128536827.0,122354046.0,118532366.0,133560598.0,129005786.0,125530372.0,128536827.0,126800116.0
121159878.0,117973164.0,120230144.0,129130817.0,128536827.0,123891966.0,139147649.0,120654100.0,127822107.0,120133851.0,131571978.0,123891966.0,128536827.0
120285385.0,126879917.0,124940547.0,130879809.0,123891966.0,120230144.0,121248138.0,127922454.0,129521954.0,121239773.0,127922454.0,120230144.0,123891966.0
128970955.0,125474984.0,119660804.0,118964551.0,120230144.0,124940547.0,129489290.0,120762648.0,136087849.0,130844896.0,120795415.0,124940547.0,120230144.0
133654733.0,121770160.0,117981445.0,133960008.0,124940547.0,119660804.0,127271322.0,133986586.0,120623401.0,124852450.0,120762648.0,119660804.0,124940547.0
122407119.0,117995690.0,125530372.0,119583059.0,119660804.0,117981445.0,136769956.0,124856608.0,135270702.0,120955107.0,126791970.0,125530372.0,119660804.0
118028496.0,119630003.0,131571978.0,120127828.0,117981445.0,125530372.0,125895079.0,129521954.0,135295283.0,120621293.0,121852196.0,131571978.0,117981445.0
