customer_id,week,business_type,gmv
-249852,12,1.0,470592.7100000
-249822,7,1.0,251578.9900000
-249822,8,1.0,151493.4300000
-249822,9,1.0,147328.7800000
-249822,11,1.0,44440.0000000
-249737,6,1.0,42044.9300000
-249737,8,1.0,203980.6700000
-249737,9,1.0,61734.0000000
-249737,10,1.0,147328.7800000
-249737,11,1.0,54831.3900000
-249737,12,1.0,57185.9300000
-248747,1,1.0,245910.0000000
-248747,2,1.0,942519.0000000
-248747,3,1.0,23025623.0500000
-248747,4,1.0,11332754.4000000
-248747,5,1.0,13706194.7000000
-248747,6,1.0,44936462.2500000
-248747,7,1.0,9754478.9000000
-248747,8,1.0,5439068.5000000
-248747,9,1.0,16433535.3600000
-248747,10,1.0,1673207.2000000
-248747,11,1.0,1604157.4000000
-247759,1,1.0,223408.7700000
-247759,2,1.0,159224.7400000
-247759,3,1.0,223096.7400000
-247759,4,1.0,158188.2600000
-247759,5,1.0,154668.4300000
-247759,6,1.0,224601.5900000
-247759,7,1.0,227730.5200000
-247759,8,1.0,222493.4300000
-247759,9,1.0,224293.4300000
-247759,11,1.0,170592.7100000
-247759,12,1.0,76980.0000000
-247419,1,1.0,1380947.8000000
-247419,2,1.0,1391314.0900000
-247419,3,1.0,1573173.8500000
-247419,4,1.0,1274310.0000000
-247419,5,1.0,1776880.5000000
-247419,6,1.0,1979804.1800000
-247419,7,1.0,2412505.5300000
-247419,8,1.0,2351695.5900000
-247419,9,1.0,2310709.5400000
-247419,10,1.0,1879441.4800000
-247419,11,1.0,2209163.7200000
-247419,12,1.0,1693613.0500000
-246658,1,1.0,794637.7700000
-246658,2,1.0,954538.8300000
-246658,3,1.0,622849.5200000
-246658,4,1.0,784896.2500000
-246658,5,1.0,716661.1300000
-246658,6,1.0,641418.5900000
-246658,7,1.0,403480.5600000
-246658,8,1.0,474640.1000000
-246658,9,1.0,297210.0000000
-246658,10,1.0,147368.5000000
-246658,11,1.0,363003.9800000
-246658,12,1.0,471347.7100000
-246598,1,1.0,377055.5600000
-246598,2,1.0,692453.9400000
-246598,3,1.0,275797.5000000
-246598,4,1.0,682212.7900000
-246598,5,1.0,304500.0000000
-246598,6,1.0,154000.0000000
-246598,7,1.0,120750.0000000
-246598,8,1.0,151493.4300000
-246500,1,1.0,442577.3700000
-246500,2,1.0,413141.5800000
-246500,3,1.0,251974.7400000
-246500,4,1.0,309619.8200000
-246500,5,1.0,257689.6700000
-246500,6,1.0,254776.5900000
-246500,7,1.0,490278.5000000
-246500,8,1.0,524463.6300000
-246500,9,1.0,151493.4300000
-246500,11,1.0,886502.7300000
-246500,12,1.0,90650.0000000
-246270,1,1.0,154052.0000000
-246270,2,1.0,172016.7400000
-246270,3,1.0,159771.1900000
-246270,4,1.0,166709.8200000
-246270,5,1.0,157053.5100000
-246270,6,1.0,150807.0000000
-246270,7,1.0,160936.6100000
-246270,8,1.0,154882.9800000
-246270,9,1.0,147524.0000000
-246270,11,1.0,170866.4200000
-246110,1,1.0,382042.4500000
-246110,4,1.0,478325.6400000
-246110,6,1.0,32368.0000000
-246110,7,1.0,307165.5900000
-246110,8,1.0,304257.0000000
-246110,10,1.0,274172.8700000
-246110,11,1.0,317521.0000000
-245872,1,1.0,158996.8400000
-245872,8,1.0,151493.4300000
-245121,1,1.0,488764.4000000
-245121,2,1.0,324265.5800000
-245121,3,1.0,587243.2000000
-245121,4,1.0,161975.1500000
-245121,5,1.0,480863.9900000
-245121,6,1.0,308745.1600000
-245121,7,1.0,390183.0300000
-245121,8,1.0,414428.7000000
-245121,9,1.0,193076.2800000
-245121,10,1.0,240379.0000000
-245121,11,1.0,404467.0000000
-245121,12,1.0,424857.6300000
-244975,1,1.0,495130.0000000
-244975,2,1.0,519096.0000000
