ciudad,mes,week::multi-filter,category::multi-filter,subcategoria,microsegment,GMV ALL,%_GMV SD/ALL,%_GMV SDMS/ALL,Orders ALL,PEN_orders ALL,%_orders SD/ALL,%_orders SDMS/ALL,Users ALL,PEN_users ALL,%_users SD/ALL,%_users SDMS/ALL,SPEND ALL,SPEND SD,SPEND SDMS,AOV ALL,AOV SD,AOV SDMS,ARPU ALL,ARPU SD,Contribution ARPU by SD,ARPU SDMS,Contribution ARPU by SDMS,SD_GMV,SD_DISCOUNT,SD DISCOUNT_OVER_GMV,SDMS_GMV,SDMS_DISCOUNT,SDMS DISCOUNT_OVER_GMV
MDE,2022-07-01 00:00,27,Lácteos & Huevos,Leches,,2172.6286666666665,0,0,151,6.13073487616728,0,0,134,7.87309048178613,0,0,16.213646766169155,,,14.38826931567329,,,1.27651508029769,0,0,0,0,,,,,,
MDE,2022-07-01 00:00,31,Lácteos & Huevos,Cremas,,1.145,0,0,1,3.33333333333333,0,0,1,3.33333333333333,0,0,1.145,,,1.145,,,0.0381666666666667,0,0,0,0,,,,,,
BHZ,2022-07-01 00:00,31,Limpeza e Higiene,Utensílios de Limpeza,other,2.056701030927835,50.0,50.0,2,3.92156862745098,1.96078431372549,1.96078431372549,2,4.0,2.0,2.0,1.0283505154639174,1.0283505154639174,1.0283505154639174,1.0283505154639174,1.0283505154639174,1.0283505154639174,0.0411340206185567,0.02056701030927835,50.0,0.02056701030927835,50.0,1.0283505154639174,0.09278,9.022215538847119,1.0283505154639174,0.09278,9.022215538847119
VCP,2022-07-01 00:00,31,Mercearia,"Café, Chocolates e Infusões",other,92.46134020618557,21.675261324041813,21.675261324041813,5,15.625,6.25,6.25,5,15.625,6.25,6.25,18.492268041237114,10.02061855670103,10.02061855670103,18.492268041237114,10.02061855670103,10.02061855670103,2.8894168814433,0.6262886597938144,21.675261324041806,0.6262886597938144,21.675261324041806,20.04123711340206,2.80412,13.991751028806586,20.04123711340206,2.80412,13.991751028806586
PBC,2022-07-01 00:00,26,Lácteos & Huevos,Mantequillas & Margarinas,,279.06409588327256,0,0,33,4.6218487394958,0,0,33,4.72779369627507,0,0,8.456487754038562,,,8.456487754038562,,,0.399805294961709,0,0,0,0,,,,,,
PBC,2022-07-01 00:00,30,Lácteos & Huevos,Cremas,other,2306.399687337155,36.86095805653029,36.86095805653029,159,6.62776156731972,2.417674030846187,2.417674030846187,151,7.79153766769866,2.9927760577915383,2.9927760577915383,15.274170114815595,14.657948644229215,14.657948644229215,14.505658410925502,14.657948644229215,14.657948644229215,1.19009271792423,0.43867957758787135,36.86095805653026,0.43867957758787135,36.86095805653026,850.1610213652945,68.0026,7.998790616252078,850.1610213652945,68.0026,7.998790616252078
CWB,2022-07-01 00:00,29,Laticínios e Ovos,Queijos,other,2437.204149484536,33.29286987949613,33.29286987949613,62,2.43041944335555,0.7056056448451598,0.7056056448451598,58,3.47097546379414,1.077199281867147,1.077199281867147,42.02076119800924,45.07862256586483,45.07862256586483,39.309744346524774,45.07862256586483,45.07862256586483,1.45853031088243,0.48558659855509767,33.29286987949612,0.48558659855509767,33.29286987949612,811.4152061855671,105.61597,13.016267035035833,811.4152061855671,105.61597,13.016267035035833
BAQ,2022-07-01 00:00,26,Lácteos & Huevos,Quesos,,24.432,0,0,2,0.210748155953635,0,0,2,0.218818380743982,0,0,12.216,,,12.216,,,0.0267308533916849,0,0,0,0,,,,,,
CWB,2022-07-01 00:00,26,Mercearia,Arroz,,584.4992636229749,0,0,36,7.94701986754967,0,0,36,8.25688073394496,0,0,16.23609065619375,,,16.23609065619375,,,1.3405946413371,0,0,0,0,,,,,,
CWB,2022-07-01 00:00,29,Mercearia,"Azeites, Óleos e Vinagres",,12331.548519063983,0,0,370,14.5041160329283,0,0,330,19.7486535008977,0,0,37.368328845648435,,,33.328509510983736,,,7.3797417828031,0,0,0,0,,,,,,
