20220325_BOG_NB_pollo_W12,20220325_BOG_NB_res_W12,20220325_BOG_NB_cerdo_W12,20220325_BOG_NB_pescadosymariscoscongelado_W12,20220325_BOG_NB_embutidos_W12
54771886.0,89981092.0,54771886.0,89981092.0,89981092.0
-229194.0,16040103.0,-229194.0,16040103.0,16040103.0
17907900.0,-229207.0,95289533.0,24084648.0,24084648.0
19660992.0,18727082.0,108429504.0,-229207.0,-229207.0
131580097.0,54771886.0,19660992.0,100286634.0,18727082.0
-212797.0,-229194.0,131580097.0,54771886.0,100286634.0
26362052.0,17907900.0,-212797.0,-229194.0,54771886.0
131023049.0,95289533.0,26362052.0,108429504.0,-229194.0
35864778.0,108429504.0,131023049.0,19660992.0,17907900.0
-229173.0,19660992.0,35864778.0,131580097.0,95289533.0
131629260.0,131580097.0,-229173.0,-212797.0,108429504.0
-212789.0,-212797.0,131629260.0,26362052.0,19660992.0
119652566.0,26362052.0,119652566.0,131023049.0,131580097.0
106266848.0,131023049.0,33554659.0,35864778.0,-212797.0
33554659.0,35864778.0,119226599.0,-229173.0,26362052.0
119226599.0,131629260.0,-229142.0,131629260.0,131023049.0
-229142.0,-212789.0,-245526.0,-212789.0,35864778.0
-245526.0,119652566.0,129515757.0,119652566.0,-229173.0
129515757.0,106266848.0,9748730.0,106266848.0,131629260.0
102596850.0,33554659.0,106578184.0,33554659.0,-212789.0
9748730.0,119226599.0,70893834.0,119226599.0,119652566.0
106578184.0,-229142.0,112951570.0,-229142.0,106266848.0
47022348.0,-245526.0,104317205.0,-245526.0,33554659.0
104317205.0,129515757.0,38879515.0,129515757.0,119226599.0
38879515.0,102596850.0,16384291.0,102596850.0,-229142.0
41582889.0,9748730.0,131760427.0,9748730.0,-245526.0
131760427.0,106578184.0,16417071.0,106578184.0,129515757.0
16417071.0,70893834.0,127795506.0,70893834.0,102596850.0
127795506.0,31146250.0,15679800.0,47022348.0,9748730.0
15679800.0,47022348.0,16924985.0,104317205.0,106578184.0
16924985.0,104317205.0,-229054.0,38879515.0,70893834.0
-229054.0,38879515.0,15663427.0,16384291.0,31146250.0
15663427.0,16384291.0,7389507.0,131760427.0,47022348.0
7389507.0,41582889.0,106332485.0,16417071.0,104317205.0
106332485.0,131760427.0,15663430.0,127795506.0,38879515.0
114032968.0,16417071.0,114032968.0,15679800.0,16384291.0
38388046.0,127795506.0,-212663.0,16924985.0,41582889.0
115425615.0,15679800.0,38388046.0,-229054.0,131760427.0
120160593.0,16924985.0,18202959.0,15663427.0,16417071.0
104743258.0,-229054.0,115425615.0,7389507.0,15679800.0
131629410.0,15663427.0,120160593.0,106332485.0,16924985.0
121962863.0,7389507.0,104743258.0,15663430.0,-229054.0
-229005.0,106332485.0,125419866.0,114032968.0,15663427.0
15532408.0,15663430.0,42516831.0,-212663.0,7389507.0
116162940.0,114032968.0,131629410.0,38388046.0,106332485.0
18055549.0,-212663.0,121962863.0,18202959.0,15663430.0
54886782.0,38388046.0,-229005.0,115425615.0,114032968.0
15450493.0,18202959.0,15532408.0,120160593.0,-212663.0
39223682.0,115425615.0,116162940.0,104743258.0,38388046.0
17170822.0,120160593.0,18055549.0,125419866.0,18202959.0
-228984.0,104743258.0,54886782.0,42516831.0,115425615.0
16122250.0,125419866.0,15450493.0,131629410.0,120160593.0
125944206.0,42516831.0,-228984.0,121962863.0,104743258.0
16843153.0,131629410.0,16122250.0,-229005.0,125419866.0
109871505.0,121962863.0,125944206.0,15532408.0,42516831.0
-245355.0,-229005.0,16843153.0,116162940.0,121962863.0
17531289.0,15532408.0,109871505.0,18055549.0,-229005.0
126714266.0,116162940.0,-245355.0,54886782.0,15532408.0
15450527.0,54886782.0,17531289.0,15450493.0,116162940.0
24166831.0,15450493.0,126714266.0,-228984.0,18055549.0
32702897.0,39223682.0,32702897.0,16122250.0,54886782.0
53576120.0,17170822.0,53576120.0,125944206.0,15450493.0
120717756.0,-228984.0,120717756.0,110363023.0,39223682.0
131187134.0,16122250.0,131187134.0,16843153.0,17170822.0
122012107.0,125944206.0,122012107.0,109871505.0,-228984.0
113557979.0,110363023.0,18399692.0,-245355.0,16122250.0
18055645.0,16843153.0,112017870.0,17531289.0,125944206.0
110461410.0,109871505.0,113557979.0,126714266.0,110363023.0
15385058.0,-245355.0,18055645.0,88195488.0,16843153.0
56181231.0,17531289.0,110461410.0,24166831.0,109871505.0
-245264.0,126714266.0,-245278.0,32702897.0,-245355.0
123208178.0,15450527.0,15385058.0,53576120.0,17531289.0
-228876.0,88195488.0,15958504.0,120717756.0,126714266.0
117850614.0,124600739.0,56181231.0,131187134.0,15450527.0
16155127.0,32702897.0,-245264.0,122012107.0,88195488.0
-245254.0,53576120.0,123208178.0,18399692.0,124600739.0
-212479.0,120717756.0,-228876.0,112017870.0,32702897.0
113656321.0,131187134.0,117850614.0,17859025.0,53576120.0
120668674.0,122012107.0,16155127.0,113557979.0,120717756.0
132071942.0,18399692.0,-212479.0,18055645.0,131187134.0
121389575.0,112017870.0,30458370.0,110461410.0,122012107.0
23609866.0,-245293.0,113656321.0,-245278.0,18399692.0
125911563.0,113557979.0,132071942.0,15385058.0,112017870.0
14402063.0,18055645.0,125911563.0,16499170.0,17859025.0
