20220328_BOG_NB_tuberculos_W13,20220328_BOG_NB_verduras_W13,20220328_BOG_NB_frutas_W13,20220328_BOG_NB_huevos_W13,20220328_BOG_NB_aceitesygrasas_W13,20220328_BOG_NB_vasos_W13,20220328_BOG_NB_contenedores_W13,20220328_BOG_NB_papelytoallas_W13
119652566.0,24084648.0,17457260.0,-212789.0,-221082.0,-229142.0,-221082.0,132292742.0
33554659.0,56402097.0,120807532.0,119652566.0,-229268.0,-245526.0,56049767.0,133300361.0
119226599.0,74490036.0,113582212.0,106266848.0,15540333.0,129515757.0,17457260.0,61989007.0
-229142.0,15556791.0,132292742.0,33554659.0,17457260.0,102596850.0,15540333.0,117973136.0
-245526.0,18325692.0,52248712.0,119226599.0,120807532.0,9748730.0,120807532.0,16228497.0
129515757.0,14409918.0,17457291.0,-229142.0,113647740.0,106578184.0,113582212.0,40198290.0
102596850.0,19660992.0,61989007.0,-245526.0,113582212.0,31146250.0,132292742.0,18325651.0
31146250.0,-212797.0,117973136.0,129515757.0,132292742.0,112951570.0,52248712.0,44376213.0
47022348.0,26362052.0,40198290.0,102596850.0,133300361.0,104317205.0,133300361.0,-212843.0
112951570.0,16736453.0,18325651.0,9748730.0,17457291.0,81412386.0,123240590.0,15401111.0
104317205.0,35864778.0,44376213.0,106578184.0,123240590.0,16384291.0,61989007.0,127565985.0
38879515.0,111763666.0,-212843.0,31146250.0,61989007.0,131760427.0,117973136.0,89981092.0
81412386.0,119652566.0,15401111.0,47022348.0,117973136.0,16417071.0,16228497.0,15769766.0
16384291.0,15114458.0,81969305.0,112951570.0,16228497.0,15679800.0,40198290.0,16040103.0
131760427.0,90677468.0,131014813.0,38879515.0,40198290.0,-229054.0,-212843.0,24084648.0
16417071.0,19046620.0,127565985.0,16384291.0,18325651.0,15663427.0,15401111.0,-229207.0
127795506.0,-220958.0,121757859.0,41582889.0,44376213.0,7389507.0,81969305.0,18727082.0
15679800.0,33554659.0,89981092.0,131760427.0,9765014.0,106332485.0,131014813.0,100286634.0
16924985.0,42377445.0,15769766.0,16417071.0,15401111.0,114032968.0,127565985.0,96395432.0
15663427.0,15589606.0,24084648.0,127795506.0,-212843.0,-212663.0,121757859.0,54771886.0
7389507.0,119226599.0,-229207.0,16924985.0,81969305.0,38388046.0,89981092.0,-221007.0
106332485.0,-229142.0,54771886.0,-229054.0,120676507.0,18202959.0,24084648.0,56402097.0
15663430.0,-245526.0,-221007.0,15663427.0,131014813.0,120160593.0,-229207.0,74490036.0
114032968.0,-204563.0,56402097.0,7389507.0,127565985.0,42516831.0,18727082.0,120692921.0
-212663.0,42262767.0,74490036.0,106332485.0,121757859.0,-229005.0,100286634.0,18325692.0
38388046.0,102596850.0,120692921.0,15663430.0,89981092.0,15532408.0,96395432.0,17907900.0
18202959.0,44261619.0,18325692.0,114032968.0,15769766.0,18055549.0,56402097.0,23486652.0
115425615.0,48374004.0,14409918.0,-212663.0,24084648.0,54886782.0,74490036.0,14409918.0
