20220420_SPO_NB_tuberculos_W16,20220420_SPO_NB_verduras_W16,20220420_SPO_NB_frutas_W16,20220420_SPO_NB_legumes_W16,20220420_SPO_NB_leite_W16,20220420_SPO_NB_ovos_W16,20220420_SPO_NB_detergentesabaoelava-louas_W16,20220420_SPO_NB_feijao_W16
145154200.0,140925112.0,136519937.0,140349690.0,126230769.0,145207477.0,140349690.0,139743458.0
50563226.0,125919417.0,110928139.0,130898176.0,140349690.0,146063541.0,142434559.0,145297637.0
142366875.0,145189048.0,145142029.0,136519937.0,142434559.0,125919417.0,136519937.0,143085802.0
142977179.0,139716795.0,146200850.0,146200850.0,136519937.0,141750472.0,110928139.0,145285358.0
145285278.0,139839680.0,138191125.0,143638808.0,110928139.0,145334486.0,138191125.0,131760368.0
142416031.0,142239941.0,142225685.0,130486552.0,145142029.0,134697181.0,136782102.0,126230769.0
71479456.0,126748873.0,143638808.0,141666587.0,138191125.0,129155294.0,143921431.0,140349690.0
145334430.0,50890959.0,130486552.0,145350949.0,136782102.0,144072928.0,143638808.0,142434559.0
143136932.0,142285010.0,141666587.0,143501611.0,143921431.0,139743458.0,130486552.0,136519937.0
129130667.0,145334486.0,145166623.0,143558960.0,143638808.0,145297637.0,142225685.0,110928139.0
19806390.0,144072928.0,78088480.0,143565108.0,130486552.0,143085802.0,145166623.0,145142029.0
140925112.0,108583138.0,145350949.0,143630649.0,142225685.0,145285358.0,145350949.0,138191125.0
125919417.0,139917539.0,143501611.0,136780093.0,145166623.0,131760368.0,143626551.0,136782102.0
145189048.0,141854947.0,139307308.0,140755261.0,145350949.0,126230769.0,140755261.0,143921431.0
139716795.0,142178530.0,143558960.0,42359108.0,52592934.0,140349690.0,146112833.0,143638808.0
139839680.0,142375142.0,143630649.0,140226885.0,143626551.0,142434559.0,126214468.0,130486552.0
141686981.0,132085991.0,136780093.0,143184200.0,146157884.0,136519937.0,140226885.0,142225685.0
142239941.0,143526120.0,140755261.0,145305930.0,140755261.0,145142029.0,143184200.0,145166623.0
141750472.0,144718055.0,146112833.0,124500301.0,146112833.0,138191125.0,145305930.0,145350949.0
126748873.0,145297637.0,140226885.0,144677200.0,140226885.0,136782102.0,145314127.0,52592934.0
50890959.0,131760368.0,145305930.0,141746513.0,145305930.0,143921431.0,139829585.0,143565108.0
142285010.0,126230769.0,124500301.0,142307666.0,145314127.0,143638808.0,142307666.0,143626551.0
145334486.0,142452980.0,145314127.0,145420627.0,139829585.0,130486552.0,141746513.0,143630649.0
140269786.0,143145207.0,144677200.0,32887127.0,141746513.0,142225685.0,145420627.0,146157884.0
134697181.0,140349690.0,142307666.0,142299485.0,145420627.0,145166623.0,32887127.0,140755261.0
144072928.0,130898176.0,145213779.0,139110753.0,32887127.0,145350949.0,142299485.0,140226885.0
139743458.0,136519937.0,143026516.0,139725159.0,142246237.0,52592934.0,142225771.0,143184200.0
139917539.0,139696391.0,145332565.0,139250035.0,140394861.0,143565108.0,142287212.0,145305930.0
108583138.0,145142029.0,145420627.0,143114614.0,145199468.0,143626551.0,140394861.0,145314127.0
141854947.0,146200850.0,32887127.0,143036791.0,134582643.0,143630649.0,145199468.0,139829585.0
142178530.0,138191125.0,142299485.0,143077756.0,143036791.0,146157884.0,134582643.0,142307666.0
132085991.0,136782102.0,139725159.0,19874173.0,143077756.0,140755261.0,143114614.0,141746513.0
142375142.0,143921431.0,139250035.0,145906052.0,19874173.0,146112833.0,143036791.0,145420627.0
144718055.0,143638808.0,134582643.0,145275277.0,35414399.0,126214468.0,143077756.0,32887127.0
145297637.0,130486552.0,143036791.0,129616276.0,145129881.0,140226885.0,19874173.0,142246237.0
143145195.0,142225685.0,143077756.0,143083925.0,138568090.0,143184200.0,35414399.0,142299485.0
141650158.0,141666587.0,19874173.0,138568090.0,142938536.0,145305930.0,145129881.0,142225771.0
