20220420_SPO_NB_bebidas,20220420_SPO_NB_congelados,20220420_SPO_NB_laticinioseovos,20220420_SPO_NB_limpezaehigiene,20220420_SPO_NB_descartaveis
123676865.0,140349690.0,142285010.0,132085991.0,130486552.0
141750472.0,142434559.0,145334486.0,143526120.0,142225685.0
126748873.0,136519937.0,143522009.0,144718055.0,145166623.0
50890959.0,110928139.0,140269786.0,143145195.0,145350949.0
142285010.0,145142029.0,134697181.0,145285358.0,52592934.0
143522009.0,138191125.0,108583138.0,131760368.0,143565108.0
140269786.0,136782102.0,141854947.0,126230769.0,143626551.0
129155294.0,143921431.0,142375142.0,140349690.0,146157884.0
108583138.0,143638808.0,132085991.0,142434559.0,140755261.0
139917539.0,130486552.0,144718055.0,130898176.0,146112833.0
142178530.0,142225685.0,143085802.0,136519937.0,140226885.0
145297637.0,145166623.0,143145195.0,139696391.0,143184200.0
142375142.0,52592934.0,141650158.0,110928139.0,145305930.0
132085991.0,143565108.0,145285358.0,146200850.0,145314127.0
144718055.0,143626551.0,126230769.0,138191125.0,142307666.0
143085802.0,143630649.0,142452980.0,136782102.0,141746513.0
143145195.0,146157884.0,140349690.0,143921431.0,145420627.0
141650158.0,126214468.0,142434559.0,143638808.0,32887127.0
145285358.0,140226885.0,130898176.0,130486552.0,142246237.0
131760368.0,143184200.0,139696391.0,142225685.0,142299485.0
126230769.0,145305930.0,145142029.0,141666587.0,142287212.0
142452980.0,145314127.0,146200850.0,145166623.0,140394861.0
143145207.0,139829585.0,138191125.0,78088480.0,145199468.0
136519937.0,142307666.0,136782102.0,145350949.0,134582643.0
110928139.0,141746513.0,143921431.0,143558960.0,142217591.0
146200850.0,145420627.0,143638808.0,146123063.0,143036791.0
138191125.0,32887127.0,142225685.0,136780093.0,143077756.0
142225685.0,142246237.0,145328407.0,140755261.0,19874173.0
130486552.0,142299485.0,141666587.0,146112833.0,145129881.0
145410328.0,142225771.0,78088480.0,42359108.0,109322658.0
141666587.0,145199468.0,145350949.0,140226885.0,139276715.0
145350949.0,134582643.0,143501611.0,143911239.0,135082415.0
52592934.0,143114614.0,139307308.0,143184200.0,143151545.0
143626551.0,142217591.0,146000173.0,124500301.0,143606204.0
146123063.0,143036791.0,143626551.0,145314127.0,143929794.0
142944569.0,143077756.0,146123063.0,141746513.0,143069638.0
143630649.0,19874173.0,142944569.0,142307666.0,139280848.0
