20220420_SPO_NB_frango_W16,20220420_SPO_NB_suinos_W16,20220420_SPO_NB_embutidos_W16,20220420_SPO_NB_carnevermelha_W16,20220420_SPO_NB_peixesefrutosdomar_W16
145171145.0,142430906.0,140284603.0,138736296.0,145089187.0
38384336.0,140284603.0,145097404.0,142987945.0,138736296.0
143512282.0,145097404.0,145863358.0,132330155.0,142987945.0
141198049.0,145171145.0,38384336.0,139391664.0,132330155.0
140231394.0,38384336.0,143512282.0,142430906.0,139391664.0
143082213.0,143512282.0,141198049.0,140284603.0,143205049.0
139993832.0,141198049.0,140231394.0,145097404.0,142430906.0
139813609.0,140231394.0,143082213.0,145863358.0,140284603.0
138830569.0,143082213.0,139813609.0,38384336.0,145097404.0
131031795.0,139813609.0,138830569.0,143512282.0,145863358.0
127795963.0,138830569.0,131031795.0,141198049.0,145171145.0
139272956.0,131031795.0,127795963.0,140231394.0,38384336.0
108884734.0,127795963.0,139272956.0,143082213.0,143512282.0
143049472.0,139272956.0,108884734.0,139993832.0,141198049.0
139846402.0,108884734.0,143049472.0,138830569.0,140231394.0
142930702.0,143049472.0,139846402.0,131031795.0,143082213.0
142988046.0,139846402.0,142988046.0,127795963.0,139993832.0
143074066.0,142930702.0,143074066.0,139272956.0,139813609.0
136643357.0,142988046.0,136643357.0,108884734.0,138830569.0
143729437.0,143074066.0,143729437.0,143049472.0,131031795.0
86373155.0,136643357.0,86373155.0,139846402.0,127795963.0
139838266.0,143729437.0,139838266.0,142930702.0,139272956.0
110367547.0,86373155.0,110367547.0,142988046.0,108884734.0
142537532.0,139838266.0,142537532.0,143074066.0,143049472.0
139789126.0,110367547.0,139789126.0,136643357.0,139846402.0
139297609.0,142537532.0,139297609.0,143729437.0,142930702.0
119288650.0,139789126.0,119288650.0,86373155.0,142988046.0
145298251.0,139297609.0,145298251.0,139838266.0,143074066.0
139776845.0,119288650.0,139776845.0,110367547.0,136643357.0
145961813.0,145298251.0,145961813.0,142537532.0,143729437.0
145183574.0,139776845.0,145183574.0,139789126.0,86373155.0
143057753.0,145961813.0,143057753.0,139297609.0,139838266.0
139240282.0,145183574.0,139240282.0,119288650.0,142537532.0
143020891.0,143057753.0,143020891.0,145298251.0,139789126.0
139240286.0,143020891.0,139240286.0,145961813.0,139297609.0
139977568.0,139240286.0,139977568.0,145183574.0,119288650.0
143553379.0,139977568.0,143553379.0,143057753.0,145298251.0
145003365.0,143553379.0,145003365.0,139240282.0,139776845.0
141603690.0,145003365.0,141603690.0,143020891.0,145961813.0
145208175.0,141603690.0,130368367.0,139240286.0,145183574.0
142988150.0,130368367.0,145208175.0,139977568.0,143057753.0
141771649.0,145208175.0,141771649.0,143553379.0,139240282.0
132920209.0,142988150.0,132920209.0,145003365.0,143020891.0
141763475.0,141771649.0,141763475.0,141603690.0,142201691.0
140260247.0,132920209.0,140260247.0,130368367.0,139240286.0
117486487.0,141763475.0,117486487.0,145208175.0,139977568.0
145208223.0,140260247.0,145208223.0,142988150.0,143553379.0
57566114.0,117486487.0,57566114.0,141771649.0,145003365.0
143139764.0,145208223.0,141603747.0,132920209.0,141603690.0
143549374.0,57566114.0,143139764.0,141763475.0,130368367.0
126038990.0,141603747.0,143549374.0,140260247.0,145208175.0
142164947.0,141706160.0,139584460.0,145208223.0,142988150.0
143086549.0,143139764.0,126038990.0,57566114.0,132920209.0
120669143.0,143549374.0,142164947.0,141603747.0,141763475.0
143553503.0,139801542.0,143086549.0,141706160.0,140260247.0
142423008.0,139584460.0,120669143.0,143139764.0,117486487.0
142373858.0,126038990.0,146039772.0,143549374.0,145208223.0
123655139.0,142164947.0,143553503.0,139801542.0,57566114.0
139211757.0,143086549.0,142373858.0,139584460.0,141603747.0
143533038.0,120669143.0,123655139.0,126038990.0,141706160.0
139322355.0,146039772.0,140231653.0,142164947.0,143139764.0
145859579.0,143553503.0,139211757.0,143086549.0,143549374.0
123864063.0,142373858.0,143533038.0,120669143.0,139801542.0
105899014.0,123655139.0,139322355.0,146039772.0,139584460.0
134837264.0,140231653.0,145859579.0,143553503.0,126038990.0
138269712.0,143533038.0,123864063.0,142423008.0,142164947.0
142406680.0,139322355.0,141321219.0,142373858.0,143086549.0
