microsegment,subcat,name,sku_ids
Lanches,Carne Vermelha,"Carne Moída de 1º - BJP Selecta  Pacote de 2kg - 1 pacote (2kg), Carne Moída de 1º - BJP Selecta  Pacote de 2kg - Mais de 5 pacotes (10kg), Carne Moída de 1º - BJP Selecta  Pacote de 2kg - Mais de 10 pacotes (20kg)","164143, 165850, 165852"
Lanches,Carne Vermelha,"Espeto de Carne Bovina Temperada - Mimi  Congelado - Pacote de 0.5kg (10 espetos de 50g) - A partir de 2 pacotes (1kg), Espeto de Carne Bovina Temperada - Mimi  Congelado - Pacote de 0.5kg (10 espetos de 50g) - Mais de 5 pacotes (2.5kg), Espeto de Carne Bovina Temperada - Mimi  Congelado - Pacote de 0.5kg (10 espetos de 50g) - Mais de 10 pacotes (5kg)","243691, 243689, 243690"
Lanches,Carne Vermelha,"Hambúrguer Bovino - SEARA  Caixa de 672g com 12 hambúrgueres - A partir de 2 caixas (24 hamb.), Hambúrguer Bovino - SEARA  Caixa de 672g com 12 hambúrgueres - Mais de 5 caixas (60 hamb.), Hambúrguer Bovino - SEARA  Caixa de 672g com 12 hambúrgueres - Mais de 10 caixas (120 hamb.)","166196, 166198, 166200"
Lanches,Carne Vermelha,"Hambúrguer Bovino Tradicional - Sadia  Caixa de 672g com 12 hambúrgueres - Mais de 5 caixas (60 hamb.), Hambúrguer Bovino Tradicional - Sadia  Caixa de 672g com 12 hambúrgueres - A partir de 2 caixas (24 hamb.)","217663, 217664, 217665"
Lanches,Cerveja,"Cerveja Cerpa Tijuca 350ml  Garrafa de 350ml - A partir de 24 unidades, Cerveja Cerpa Tijuca 350ml  Garrafa de 350ml - A partir de 72 unidades","283453, 283454"
Lanches,Cerveja,"Cerveja Eisenbahn long neck 355ml  Garrafa de 355ml - A partir de 12 unidades, Cerveja Eisenbahn long neck 355ml  Garrafa de 355ml - A partir de 36 unidades, Cerveja Eisenbahn long neck 355ml  Garrafa de 355ml - A partir de 72 unidades","267755, 267756, 267757"
Lanches,Cerveja,Cerveja Heineken garrafa 250ml  Garrafa de 250ml - A partir de 24 unidades,314694
Lanches,Condimentos,"Ketchup Cepêra 1,01Kg  Frasco de 1,01Kg - Unidade, Ketchup Cepêra 1,01Kg  1,01Kg - Mais de 12 unidades","141892, 141893"
Lanches,Condimentos,"Ketchup Cepêra 3,5Kg  3,5Kg - Unidade, Ketchup Cepêra 3,5Kg  3,5Kg - Mais de 4 unidades","141889, 141890"
Lanches,Condimentos,Ketchup Cepêra Sachê 175 X 7g  175 X 7g - Caixa,141931
Lanches,Condimentos,"Ketchup Picante Predilecta 400g  400g - Unidade, Ketchup Picante Predilecta 400g  400g - Mais de 24 unidades",168207
Lanches,Condimentos,"Ketchup Predilecta 1,02Kg  Frasco de 1,02Kg - Unidade",168175
Lanches,Condimentos,"Ketchup Predilecta 3,6Kg  3,6Kg - Unidade, Ketchup Predilecta 3,6Kg  Galão de 3,6Kg - Mais de 4 unidades","168040, 168039"
Lanches,Condimentos,"Ketchup Predilecta 400g  Frasco de 400g - Unidade, Ketchup Predilecta 400g  400g - Mais de 24 unidades","168042, 168043"
Lanches,Condimentos,Ketchup Predilecta Sachê 144x7g  144x7g - Caixa,168237
Lanches,Condimentos,Maionese Cepêra Sachê 175 X 7g  175 X 7g - Caixa,141933
Lanches,Condimentos,"Maionese Liza Chef 2,7Kg  2,7Kg - Unidade, Maionese Liza Chef 2,7Kg  2,7Kg - Mais de 6 unidades","174045, 173937"
Lanches,Condimentos,"Maionese Original Sabores Cepêra 655g  Sachê de 655g - Unidade, Maionese Original Sabores Cepêra 655g  Sachê de 655g - Mais de 18 unidades","142516, 142520"
Lanches,Condimentos,"Maionese Predilecta 1,02Kg  1,02Kg - Unidade","168061, 168062"
Lanches,Condimentos,"Maionese Predilecta 200g  Sachê de 200g - Unidade, Maionese Predilecta 200g  Sachê de 200g - Mais de 24 unidades","168204, 168205"
Lanches,Condimentos,Maionese Predilecta Sachê 144x7g  Sachês de 7g - Caixa,168195
Lanches,Condimentos,"Maionese Siolle 1Kg  Sachê De 1Kg - Unidade, Maionese Siolle 1Kg  Sachê De 1Kg - Mais de 6 unidades","278422, 278423"
Lanches,Condimentos,"Maionese Siolle 3Kg  Balde de 3kg - Mais de 6 unidades, Maionese Siolle 3Kg  Balde de 3kg - Unidade","278426, 278425"
Lanches,Condimentos,"Mostarda Amarela Cepêra 1,01Kg  Pet de 1,01Kg - Unidade","141928, 141929"
Lanches,Condimentos,"Mostarda Amarela Cepêra 3,3Kg  Galão de 3,3Kg - Unidade, Mostarda Amarela Cepêra 3,3Kg  Galão de 3,3Kg - Mais de 4 unidades","141925, 141926"
Lanches,Condimentos,Mostarda Amarela Cepêra Sachê 175 X 7g  175 X 7g - Caixa,141935
Lanches,Condimentos,Mostarda Predilecta 180g  180g - Unidade,"168045, 168046"
Lanches,Condimentos,"Mostarda Predilecta 3,3Kg  3,3Kg - Unidade, Mostarda Predilecta 3,3Kg  Galão de 3,3Kg - Mais de 4 unidades",168172
Lanches,Condimentos,Mostarda Predilecta 950g  Frasco de 950g - Unidade,168160
Lanches,Condimentos,Mostarda Predilecta Sachê 144x7g  Sachês de 7g - Caixa,168239
Lanches,Embutidos,"Apresuntado 3.58Kg - Frimesa  Peça de 3.58kg - 1 peça, Apresuntado 3.58Kg - Frimesa  Peça de 3.58kg - Mais de 3 peças, Apresuntado 3.58Kg - Frimesa  Peça de 3.58kg - Mais de 6 peças","180640, 180641, 180642"
Lanches,Embutidos,"Linguiça Calabresa Cozida  Fatiada - Ceratti  Pacote de 1kg (400 fatias aprox.) - 1 pacote (1kg), Linguiça Calabresa Cozida  Fatiada - Ceratti  Pacote de 1kg (400 fatias aprox.) - Mais de 10 pacotes (10kg), Linguiça Calabresa Cozida  Fatiada - Ceratti  Pacote de 1kg (400 fatias aprox.) - Mais de 5 pacotes (5kg)","217655, 217657, 217656"
Lanches,Embutidos,"Linguiça Calabresa Reta - Sadia  Pacote de 2.5kg - 1 pacote (2.5kg), Linguiça Calabresa Reta - Sadia  Pacote de 2.5kg - Mais de 10 pacotes (25kg), Linguiça Calabresa Reta - Sadia  Pacote de 2.5kg - Mais de 5 pacotes (12.5kg)","217671, 217673, 217672"
Lanches,Embutidos,"Linguiça tipo Calabresa - SEARA  Pacote de 2.5kg - 1 pacote (2.5kg), Linguiça tipo Calabresa - SEARA  Pacote de 2.5kg - Mais de 5 pacotes (12.5kg), Linguiça tipo Calabresa - SEARA  Pacote de 2.5kg - Mais de 10 pacotes (25kg)","165988, 165990, 165992"
Lanches,Embutidos,"Mortadela 5kg - Bambina  Peça de 5kg - A partir de 1 peça, Mortadela 5kg - Bambina  Peça de 5kg - Mais de 6 peças, Mortadela 5kg - Bambina  Peça de 5kg - Mais de 3 peças",233893
Lanches,Embutidos,"Mortadela Fatiada Ouro - Perdigão  Pacote de 1kg - 1 pacote (1kg), Mortadela Fatiada Ouro - Perdigão  Pacote de 1kg - Mais de 5 pacotes (5kg), Mortadela Fatiada Ouro - Perdigão  Pacote de 1kg - Mais de 10 pacotes (10kg)","217705, 217703, 217704"
Lanches,Embutidos,"Pepperoni Fatiado - Ceratti  Pacote de 1kg (380 fatias aprox.) - 1 pacote (1kg), Pepperoni Fatiado - Ceratti  Pacote de 1kg (380 fatias aprox.) - Mais de 10 pacotes (10kg), Pepperoni Fatiado - Ceratti  Pacote de 1kg (380 fatias aprox.) - Mais de 5 pacotes (5kg)","217651, 217652, 217653"
Lanches,Embutidos,"Presunto Cozido Oval sem Capa 3.4Kg - Frimesa  Peça de 3.4kg - 1 peça, Presunto Cozido Oval sem Capa 3.4Kg - Frimesa  Peça de 3.4kg - Mais de 6 peças, Presunto Cozido Oval sem Capa 3.4Kg - Frimesa  Peça de 3.4kg - Mais de 3 peças","180332, 180333, 180334"
Lanches,Embutidos,"Presunto Cozido Retangular sem Capa 3.82Kg - Frimesa  Peça de 3.82kg - Mais de 3 peças, Presunto Cozido Retangular sem Capa 3.82Kg - Frimesa  Peça de 3.82kg - 1 peça","180336, 180337, 180638"
Lanches,Embutidos,"Salsicha Congelada - SEARA  Pacote de 5kg - 1 pacote (5kg), Salsicha Congelada - SEARA  Pacote de 5kg - Mais de 5 pacotes (25kg), Salsicha Congelada - SEARA  Pacote de 5kg - Mais de 10 pacotes (50kg)","165730, 165678, 165732"
Lanches,Embutidos,"Salsicha Hot Dog - Sadia  Resfriado - Pacote de 3kg - A partir de 1 pacote (3kg), Salsicha Hot Dog - Sadia  Resfriado - Pacote de 3kg - Mais de 6 pacotes (18kg), Salsicha Hot Dog - Sadia  Resfriado - Pacote de 3kg - Mais de 3 pacotes (9kg)","235740, 235636, 235738"
Lanches,Embutidos,"Salsicha Resfriada - Frimesa  Pacote de 2kg - 1 pacote (2kg), Salsicha Resfriada - Frimesa  Pacote de 2kg - Mais de 5 pacotes (10kg), Salsicha Resfriada - Frimesa  Pacote de 2kg - Mais de 10 pacotes (20kg)","165338, 165716, 165714"
