20220420_BHZ_NB_frango_W16,20220420_BHZ_NB_suinos_W16,20220420_BHZ_NB_embutidos_W16,20220420_BHZ_NB_carnevermelha_W16,20220420_BHZ_NB_peixesefrutosdomar_W16
139278177.0,142971633.0,142441210.0,134972161.0,116799219.0
140258149.0,127450866.0,134972161.0,143120130.0,139945718.0
142992232.0,116799219.0,141771524.0,141771524.0,142222072.0
140359529.0,139945718.0,142993158.0,142993158.0,139225849.0
141564780.0,142222072.0,140227335.0,140227335.0,143099640.0
143142769.0,139225849.0,143270666.0,141718281.0,134972161.0
139650932.0,142441210.0,145970956.0,145970956.0,143120130.0
143961977.0,134972161.0,129825549.0,129825549.0,141771524.0
145167227.0,143120130.0,140348174.0,140348174.0,142993158.0
141831042.0,141771524.0,143059727.0,143059727.0,140227335.0
141300612.0,142993158.0,141760271.0,141760271.0,141718281.0
143100812.0,140227335.0,141756177.0,141756177.0,143270666.0
142306189.0,141718281.0,142474002.0,142474002.0,145970956.0
138545038.0,143270666.0,143148819.0,143148819.0,129825549.0
144266131.0,145970956.0,141734678.0,141734678.0,140348174.0
143169431.0,129825549.0,142359318.0,142359318.0,143059727.0
142431131.0,140348174.0,134034200.0,134034200.0,141760271.0
140246947.0,143059727.0,99776282.0,99776282.0,141756177.0
141753255.0,141760271.0,145968934.0,137091873.0,142474002.0
139798440.0,141756177.0,143985447.0,145968934.0,143148819.0
143551401.0,142474002.0,140457780.0,143985447.0,141734678.0
142907306.0,143148819.0,144458550.0,140457780.0,142359318.0
142458795.0,141734678.0,142928695.0,145104692.0,134034200.0
143606701.0,142359318.0,145331000.0,144458550.0,99776282.0
141735854.0,134034200.0,129897279.0,142928695.0,137091873.0
143080367.0,99776282.0,132242240.0,145331000.0,145968934.0
145042353.0,137091873.0,143140671.0,129897279.0,143985447.0
142342066.0,145968934.0,140261186.0,132242240.0,140457780.0
140348345.0,143985447.0,145326915.0,143140671.0,145104692.0
140329914.0,140457780.0,134428489.0,140261186.0,144458550.0
126831548.0,145104692.0,140229452.0,145326915.0,142928695.0
113496001.0,144458550.0,143570765.0,143524680.0,145331000.0
145284038.0,142928695.0,145258321.0,134428489.0,129897279.0
139819977.0,145331000.0,139707221.0,140229452.0,132242240.0
141714387.0,129897279.0,145408862.0,143570765.0,143140671.0
142228437.0,132242240.0,140304225.0,145258321.0,140261186.0
67802076.0,143140671.0,136257378.0,139707221.0,145326915.0
102542301.0,140261186.0,139278177.0,145408862.0,143524680.0
140329952.0,145326915.0,140258149.0,140304225.0,134428489.0
142376924.0,134428489.0,142992232.0,136257378.0,140229452.0
89141216.0,140229452.0,140359529.0,139278177.0,143570765.0
143591395.0,143570765.0,141564780.0,140258149.0,145258321.0
145355748.0,145258321.0,142223214.0,142992232.0,139707221.0
139163624.0,139707221.0,141726576.0,140359529.0,145408862.0
142382064.0,145408862.0,143142769.0,141564780.0,140304225.0
143648753.0,136257378.0,139650932.0,142223214.0,136257378.0
129171442.0,139278177.0,143961977.0,141726576.0,139278177.0
145222645.0,140258149.0,145167227.0,143142769.0,140258149.0
141613046.0,142992232.0,139206527.0,139650932.0,142992232.0
91474939.0,140359529.0,141831042.0,143961977.0,140359529.0
,141564780.0,141300612.0,145167227.0,141564780.0
,142223214.0,143100812.0,139206527.0,142223214.0
,141726576.0,142306189.0,141831042.0,141726576.0
,143142769.0,138545038.0,141300612.0,143142769.0
,139650932.0,144266131.0,143100812.0,139650932.0
,143961977.0,141778839.0,142306189.0,145167227.0
,145167227.0,143169431.0,138545038.0,139206527.0
,139206527.0,142431131.0,144266131.0,141831042.0
,141831042.0,141804447.0,141778839.0,141300612.0
,141300612.0,142194594.0,143169431.0,143100812.0
,143100812.0,140246947.0,142431131.0,142306189.0
,142306189.0,141753255.0,141804447.0,138545038.0
,138545038.0,139798440.0,142194594.0,144266131.0
,144266131.0,143551401.0,140246947.0,141778839.0
,141778839.0,142907306.0,141753255.0,143169431.0
,143169431.0,142458795.0,139798440.0,142431131.0
,142431131.0,143606701.0,143551401.0,141804447.0
,141804447.0,141735854.0,142907306.0,142194594.0
,140246947.0,143080367.0,142458795.0,140246947.0
,141753255.0,145042353.0,143606701.0,141753255.0
,139798440.0,141553586.0,141735854.0,139798440.0
,143551401.0,142342066.0,143080367.0,143551401.0
,142907306.0,140348345.0,145042353.0,142907306.0
,142458795.0,140329914.0,141553586.0,142458795.0
,143606701.0,126831548.0,142342066.0,143606701.0
,141735854.0,113496001.0,140348345.0,141735854.0
,143080367.0,145284038.0,140329914.0,143080367.0
,145042353.0,139819977.0,126831548.0,145042353.0
,141553586.0,145085391.0,113496001.0,141553586.0
,142342066.0,141714387.0,145284038.0,142342066.0
,140348345.0,142228437.0,139819977.0,140348345.0
,140329914.0,67802076.0,145085391.0,140329914.0
,126831548.0,68207581.0,141714387.0,126831548.0
,113496001.0,102542301.0,142228437.0,113496001.0
,145284038.0,142326751.0,67802076.0,145284038.0
,139819977.0,140329952.0,68207581.0,139819977.0
,145085391.0,142376924.0,102542301.0,145085391.0
,141714387.0,89141216.0,142326751.0,141714387.0
,142228437.0,143591395.0,140329952.0,142228437.0
,67802076.0,130348004.0,142376924.0,67802076.0
,68207581.0,145355748.0,89141216.0,68207581.0
,102542301.0,139163624.0,143591395.0,102542301.0
,142326751.0,145196009.0,130348004.0,142326751.0
,140329952.0,142382064.0,139163624.0,140329952.0
,142376924.0,143648753.0,145196009.0,142376924.0
