20220420_BHZ_NB_bebidas,20220420_BHZ_NB_congelados,20220420_BHZ_NB_laticinioseovos,20220420_BHZ_NB_limpezaehigiene,20220420_BHZ_NB_descartaveis
142168626.0,141743174.0,145438874.0,138695741.0,145438874.0
142340660.0,142941258.0,142301341.0,110561857.0,143059103.0
145452598.0,141718604.0,143059103.0,139684421.0,143554729.0
139175992.0,142949455.0,143554729.0,142400581.0,142436522.0
143092281.0,145461329.0,142436522.0,141743174.0,144761005.0
135038524.0,143563859.0,144761005.0,139751497.0,145860804.0
143537213.0,142379094.0,145860804.0,142941258.0,143007941.0
142387776.0,142336088.0,145076421.0,138672715.0,145076421.0
110561857.0,139743322.0,143538376.0,141593164.0,141580495.0
142370884.0,139780187.0,131406029.0,145461329.0,143093976.0
142903365.0,141772890.0,141580495.0,143563859.0,142416108.0
143913029.0,142154840.0,142416108.0,139223636.0,142348528.0
139684421.0,142322777.0,142348528.0,142336088.0,141797619.0
142400581.0,108823644.0,141797619.0,142154840.0,139307253.0
139751497.0,145820768.0,139307253.0,142322777.0,141601015.0
141743174.0,145160295.0,141601015.0,139780187.0,142207237.0
142413383.0,139806824.0,139847931.0,145282655.0,143479049.0
141593164.0,143538280.0,140384520.0,145820768.0,145203470.0
141718604.0,141681769.0,84588828.0,143578725.0,84588828.0
143513163.0,142332013.0,138080543.0,139806824.0,138080543.0
145461329.0,129239150.0,142354723.0,142983785.0,142354723.0
143104594.0,145240176.0,142450985.0,138147435.0,143509795.0
143487571.0,89898098.0,145320244.0,142332013.0,142242089.0
143563859.0,143917171.0,141781306.0,129239150.0,139995440.0
142379094.0,142186617.0,121489728.0,140939887.0,121489728.0
138664535.0,140409977.0,139673923.0,126374513.0,139673923.0
142336088.0,141560954.0,70336841.0,143917171.0,141816140.0
139710552.0,142907516.0,141816140.0,139895924.0,132200780.0
139743322.0,143531131.0,142225740.0,142186617.0,143061330.0
141772890.0,142471305.0,141592908.0,141697658.0,129470802.0
142154840.0,141705354.0,143061330.0,140409977.0,142192990.0
145282655.0,145167498.0,142192990.0,108132994.0,141572465.0
139677792.0,94868620.0,139194739.0,139103876.0,140312951.0
145820768.0,89442446.0,140312951.0,143494790.0,142162297.0
142352994.0,140234895.0,143675767.0,94868620.0,143583614.0
145878630.0,142377103.0,143583614.0,89442446.0,141865342.0
145160295.0,145084558.0,65024391.0,140234895.0,139377029.0
143538280.0,145873039.0,141801872.0,145873039.0,65024391.0
142983785.0,145232019.0,136765845.0,67982993.0,141801872.0
145114728.0,143515796.0,145918365.0,139859090.0,136765845.0
138147435.0,139859090.0,140263838.0,142198421.0,145918365.0
142332013.0,140364952.0,143176094.0,141569689.0,140263838.0
129239150.0,141575320.0,141674913.0,143104154.0,143176094.0
126374513.0,143104154.0,143487399.0,89201307.0,132153766.0
139895924.0,145438874.0,143708583.0,138514074.0,143487399.0
143159929.0,142301341.0,139334065.0,142301341.0,143708583.0
141697658.0,142361757.0,143081927.0,123281049.0,143530410.0
140409977.0,143059103.0,141677003.0,142949536.0,139334065.0
142907516.0,142949536.0,76128721.0,143121569.0,143081927.0
143531131.0,143121569.0,137896405.0,142280359.0,76128721.0
139230851.0,143554729.0,124004824.0,145914536.0,137896405.0
141705354.0,142436522.0,141670875.0,143054505.0,124004824.0
145167498.0,131167404.0,143127011.0,142436522.0,141670875.0
94868620.0,144761005.0,142221796.0,131167404.0,143127011.0
139335309.0,142310576.0,141736430.0,144761005.0,142221796.0
89442446.0,145870002.0,123810296.0,94981804.0,141736430.0
140234895.0,127268021.0,144374277.0,137919151.0,123810296.0
145873039.0,140397749.0,141904395.0,142303919.0,144374277.0
139762319.0,145044668.0,140483083.0,143542960.0,139256326.0
139859090.0,130362557.0,145125900.0,145870002.0,140483083.0
140364952.0,71758014.0,142193176.0,133619374.0,142193176.0
141575320.0,145904832.0,143577624.0,140398257.0,143577624.0
145438874.0,143007941.0,110561857.0,127268021.0,139078175.0
141691546.0,145076421.0,139684421.0,140397749.0,139653668.0
89201307.0,125656260.0,138672715.0,139826361.0,127502884.0
141569689.0,143538376.0,141593164.0,141151930.0,142168626.0
138514074.0,131406029.0,142971473.0,140366523.0,142340660.0
123281049.0,141580495.0,143487571.0,130362557.0,143092281.0
