20220420_BAQ_NB_tuberculos_W16,20220420_BAQ_NB_arroz_W16,20220420_BAQ_NB_frutas_W16,20220420_BAQ_NB_huevos_W16,20220420_BAQ_NB_verduras_W16,20220420_BAQ_NB_vasos_W16,20220420_BAQ_NB_contenedores_W16,20220420_BAQ_NB_detergentejabonylavalozas_W16
141819754.0,143187339.0,142244151.0,143022932.0,,142244151.0,142244151.0,143039939.0
142966644.0,139734413.0,145901370.0,130031964.0,,142968638.0,145901370.0,-224827.0
139829109.0,143077790.0,142968638.0,143010142.0,,142241605.0,142968638.0,142230986.0
145458039.0,142498726.0,142241605.0,141900133.0,,145198925.0,142241605.0,145925071.0
41959288.0,142471590.0,142288197.0,140808560.0,,140458322.0,142288197.0,140771801.0
143024505.0,145943981.0,-213681.0,142966644.0,,141693268.0,145198925.0,144741856.0
140406654.0,143035335.0,143022932.0,139829109.0,,-247466.0,-213681.0,141269988.0
146226053.0,142230986.0,-247466.0,145458039.0,,130031964.0,140458322.0,131548132.0
129918854.0,140771801.0,130031964.0,143024505.0,,143010142.0,143022932.0,141608427.0
145417609.0,144741856.0,143010142.0,140406654.0,,141900133.0,-247466.0,143057908.0
143187339.0,142555105.0,141900133.0,146226053.0,,140808560.0,130031964.0,143122420.0
139734413.0,141269988.0,141819754.0,145417609.0,,139829109.0,143010142.0,142473212.0
145200528.0,131548132.0,142966644.0,145411465.0,,145458039.0,141819754.0,
142260636.0,141608427.0,139829109.0,143187339.0,,41959288.0,140808560.0,
143077790.0,143057908.0,143024505.0,145200528.0,,143024505.0,142966644.0,
139229094.0,143122420.0,140406654.0,143077790.0,,146226053.0,145458039.0,
142498726.0,142473212.0,146226053.0,142471590.0,,129918854.0,41959288.0,
142471590.0,,145411465.0,140862888.0,,145417609.0,143024505.0,
146031019.0,,139734413.0,146031019.0,,145411465.0,140406654.0,
-213587.0,,145200528.0,-213587.0,,143187339.0,146226053.0,
145943981.0,,143077790.0,145943981.0,,139734413.0,129918854.0,
