20220420_BAQ_NB_pollo_W16,20220420_BAQ_NB_res_W16,20220420_BAQ_NB_cerdo_W16,20220420_BAQ_NB_pescadosymariscoscongelado_W16,20220420_BAQ_NB_embutidos_W16
123318007.0,128562337.0,142555813.0,131537561.0,131537561.0
146221312.0,142555813.0,142278823.0,128562337.0,128562337.0
140470017.0,142278823.0,146115753.0,142555813.0,142555813.0
138573067.0,146115753.0,73178290.0,142278823.0,142278823.0
139239693.0,145064107.0,140782771.0,146115753.0,146115753.0
141631764.0,73178290.0,138146998.0,145064107.0,145064107.0
55022872.0,140782771.0,144643776.0,73178290.0,73178290.0
137183524.0,128091826.0,140293315.0,140782771.0,140782771.0
140902694.0,138146998.0,142296259.0,128091826.0,138146998.0
62456111.0,139730110.0,104353989.0,138146998.0,139730110.0
139941685.0,144643776.0,142259398.0,139730110.0,144643776.0
142244151.0,142296259.0,142520517.0,144643776.0,140293315.0
145901370.0,104353989.0,142215885.0,140293315.0,142296259.0
142968638.0,142259398.0,138857683.0,142296259.0,104353989.0
142241605.0,142520517.0,141666521.0,104353989.0,142259398.0
142288197.0,142215885.0,145075418.0,142259398.0,142215885.0
145198925.0,73187536.0,141617372.0,142520517.0,73187536.0
-213681.0,141666521.0,143166686.0,142215885.0,138857683.0
140458322.0,145075418.0,145175262.0,73187536.0,141666521.0
143022932.0,141617372.0,131770096.0,138857683.0,145075418.0
-247466.0,143166686.0,140361458.0,141666521.0,141617372.0
130031964.0,145175262.0,123318007.0,145075418.0,143166686.0
143010142.0,131770096.0,143071480.0,141617372.0,131770096.0
141819754.0,139233521.0,146221312.0,143166686.0,139233521.0
140808560.0,140361458.0,140470017.0,145175262.0,140361458.0
142966644.0,123318007.0,138573067.0,131770096.0,123318007.0
139829109.0,143071480.0,139239693.0,139233521.0,143071480.0
41959288.0,145942265.0,140955924.0,140361458.0,145942265.0
143024505.0,146221312.0,87179030.0,143071480.0,50162938.0
140406654.0,140470017.0,55022872.0,145942265.0,146221312.0
146226053.0,138573067.0,137183524.0,50162938.0,138573067.0
129918854.0,139239693.0,139751206.0,146221312.0,139239693.0
145417609.0,140955924.0,139331367.0,140470017.0,139285267.0
143187339.0,141631764.0,140902694.0,138573067.0,140955924.0
145200528.0,87179030.0,138793263.0,139239693.0,141631764.0
139229094.0,55022872.0,62456111.0,139285267.0,87179030.0
142498726.0,137183524.0,139941685.0,140955924.0,55022872.0
142471590.0,139751206.0,146020149.0,141631764.0,137183524.0
146031019.0,139331367.0,142244151.0,55022872.0,139751206.0
-213587.0,140902694.0,145901370.0,137183524.0,139331367.0
145943981.0,138793263.0,142968638.0,139751206.0,140902694.0
146245056.0,62456111.0,142241605.0,139331367.0,62456111.0
143039939.0,139941685.0,142288197.0,140902694.0,139941685.0
-224827.0,142244151.0,145198925.0,138793263.0,146020149.0
141723591.0,145901370.0,-213681.0,62456111.0,142244151.0
143035335.0,142968638.0,140458322.0,139941685.0,145901370.0
140352457.0,142241605.0,141693268.0,146020149.0,142968638.0
142230986.0,142288197.0,143022932.0,142244151.0,142241605.0
140771801.0,145198925.0,-247466.0,145901370.0,142288197.0
142555105.0,-213681.0,130031964.0,142968638.0,-213681.0
141269988.0,140458322.0,143010142.0,142241605.0,140458322.0
141608427.0,143022932.0,141900133.0,142288197.0,141693268.0
145270766.0,-247466.0,141819754.0,145198925.0,143022932.0
143057908.0,130031964.0,140808560.0,-213681.0,-247466.0
143122420.0,143010142.0,142966644.0,140458322.0,130031964.0
146161143.0,141900133.0,139829109.0,141693268.0,141900133.0
141824508.0,141819754.0,145458039.0,143022932.0,141819754.0
,140808560.0,41959288.0,-247466.0,140808560.0
,142966644.0,143024505.0,130031964.0,142966644.0
,139829109.0,140406654.0,143010142.0,139829109.0
,145458039.0,146226053.0,141900133.0,145458039.0
,41959288.0,129918854.0,141819754.0,41959288.0
,143024505.0,145417609.0,140808560.0,143024505.0
,140406654.0,145411465.0,142966644.0,140406654.0
,146226053.0,143187339.0,139829109.0,146226053.0
,129918854.0,139734413.0,145458039.0,129918854.0
,145417609.0,145200528.0,41959288.0,145417609.0
,145411465.0,143077790.0,143024505.0,145411465.0
,143187339.0,122290590.0,140406654.0,143187339.0
,139734413.0,139229094.0,146226053.0,139734413.0
,145200528.0,142498726.0,129918854.0,145200528.0
,142260636.0,140862888.0,145417609.0,142260636.0
,143077790.0,146031019.0,145411465.0,143077790.0
,140371365.0,142473212.0,143187339.0,122290590.0
,139229094.0,-213587.0,139734413.0,140371365.0
,142498726.0,145943981.0,145200528.0,139229094.0
,140862888.0,146245056.0,142260636.0,142498726.0
,142471590.0,143039939.0,143077790.0,140862888.0
,146031019.0,-224827.0,122290590.0,142471590.0
,-213587.0,141723591.0,140371365.0,146031019.0
,145943981.0,143035335.0,139229094.0,142473212.0
,141703604.0,140352457.0,142498726.0,-213587.0
,146245056.0,142230986.0,140862888.0,145943981.0
,143039939.0,145925071.0,142471590.0,141703604.0
,-224827.0,140771801.0,146031019.0,146245056.0
,141723591.0,144741856.0,142473212.0,-224827.0
,143035335.0,142555105.0,-213587.0,141723591.0
,140352457.0,141269988.0,145943981.0,143035335.0
,142230986.0,131548132.0,146245056.0,140352457.0
,145925071.0,141608427.0,143039939.0,142230986.0
,140771801.0,145270766.0,-224827.0,142473166.0
,144741856.0,143057908.0,141723591.0,145925071.0
,142555105.0,143122420.0,143035335.0,140771801.0
,141269988.0,146161143.0,140352457.0,144741856.0
,131548132.0,141824508.0,142230986.0,142555105.0
,141608427.0,,142473166.0,141269988.0
,145270766.0,,145925071.0,131548132.0
,143057908.0,,140771801.0,141608427.0
,143122420.0,,144741856.0,145270766.0
,146161143.0,,142555105.0,143057908.0
,141824508.0,,141269988.0,143122420.0
,,,131548132.0,146161143.0
,,,141608427.0,141824508.0
,,,145270766.0,
,,,143057908.0,
,,,143122420.0,
,,,146161143.0,
,,,141824508.0,
