customer_id,week,business_type,gmv
-243779,12,1.0,711339.7400000
-243586,2,1.0,626932.2800000
-243586,3,1.0,91004.8900000
-243586,5,1.0,558519.2300000
-243586,6,1.0,453298.3800000
-243586,7,1.0,74739.5800000
-243586,8,1.0,171605.5900000
-243586,9,1.0,335103.7800000
-243586,10,1.0,595176.3500000
-243586,11,1.0,322794.2600000
-242607,7,1.0,143305.6800000
-242607,8,1.0,119248.0000000
-242607,9,1.0,336984.0000000
-242607,11,1.0,132379.0000000
-242575,1,1.0,673825.0600000
-242575,2,1.0,726781.9100000
-242575,3,1.0,357077.4700000
-242575,4,1.0,140757.4900000
-242575,5,1.0,842941.1500000
-242575,6,1.0,756344.7200000
-242575,7,1.0,730448.2600000
-242575,8,1.0,583920.4300000
-242575,9,1.0,1072390.7300000
-242575,10,1.0,939626.8900000
-242575,11,1.0,905771.6100000
-241945,4,1.0,448453.7300000
-241945,5,1.0,1361444.4400000
-241945,6,1.0,1358014.3600000
-241945,7,1.0,1340523.1900000
-241945,8,1.0,1494042.8200000
-241945,9,1.0,1283823.0500000
-241945,10,1.0,1883761.8300000
-241945,11,1.0,1291426.3300000
-241945,12,1.0,647329.2700000
-241359,9,1.0,180952.0000000
-241359,12,1.0,87967.4600000
-240843,9,1.0,151493.4300000
-239438,1,1.0,448377.1100000
-239438,2,1.0,696602.7200000
-239438,3,1.0,362082.9900000
-239438,4,1.0,485110.3200000
-239438,5,1.0,773289.8100000
-239438,6,1.0,603390.9600000
-239438,7,1.0,800851.0200000
-239438,8,1.0,645135.4900000
-239438,9,1.0,405156.2100000
-239438,10,1.0,895063.8800000
-239438,11,1.0,426115.7400000
-239438,12,1.0,734186.1100000
-239138,5,1.0,121489.4800000
-239138,8,1.0,171519.5700000
-239138,9,1.0,337789.3900000
-239138,10,1.0,92138.9500000
-239138,11,1.0,230390.2700000
-236777,2,1.0,83488.9500000
-236777,3,1.0,46641.0000000
-236777,6,1.0,89682.9000000
-236777,7,1.0,62199.9500000
-236777,9,1.0,661027.0000000
-236777,11,1.0,349260.8000000
-236777,12,1.0,67154.0800000
-236620,1,1.0,416136.8100000
-236620,3,1.0,204095.0000000
-236620,5,1.0,156282.0100000
-236620,6,1.0,212473.9200000
