customer_id,week,business_type,gmv
-246270,1,1.0,154052.0000000
-246270,2,1.0,172016.7400000
-246270,3,1.0,159771.1900000
-246270,4,1.0,166709.8200000
-246270,5,1.0,157053.5100000
-246270,6,1.0,150807.0000000
-246270,7,1.0,160936.6100000
-246270,8,1.0,154882.9800000
-246270,9,1.0,147524.0000000
-246270,11,1.0,170866.4200000
-246110,1,1.0,382042.4500000
-246110,4,1.0,478325.6400000
-246110,6,1.0,32368.0000000
-246110,7,1.0,307165.5900000
-246110,8,1.0,304257.0000000
-246110,10,1.0,274172.8700000
-246110,11,1.0,317521.0000000
-245872,1,1.0,158996.8400000
-245872,8,1.0,151493.4300000
-245121,1,1.0,488764.4000000
-245121,2,1.0,324265.5800000
-245121,3,1.0,587243.2000000
-245121,4,1.0,161975.1500000
-245121,5,1.0,480863.9900000
-245121,6,1.0,308745.1600000
-245121,7,1.0,390183.0300000
-245121,8,1.0,414428.7000000
-245121,9,1.0,193076.2800000
-245121,10,1.0,240379.0000000
-245121,11,1.0,404467.0000000
-245121,12,1.0,424857.6300000
-244741,1,1.0,160485.3300000
-244741,3,1.0,321339.9800000
-244741,4,1.0,89289.5000000
-244741,5,1.0,314109.9900000
-244741,7,1.0,329118.1800000
-244741,8,1.0,755302.0000000
-244741,9,1.0,970182.7300000
-244741,10,1.0,291640.5000000
-244642,1,1.0,507949.2500000
-244642,2,1.0,616646.3900000
-244642,3,1.0,633300.6400000
-244642,4,1.0,497348.0400000
-244642,5,1.0,1009783.7400000
-244642,6,1.0,998173.7700000
-244642,7,1.0,803111.8700000
-244642,8,1.0,1177015.8200000
-244642,9,1.0,918999.1200000
-244642,10,1.0,802705.0700000
-244642,12,1.0,664661.4900000
-244085,1,1.0,544271.0000000
-244085,2,1.0,648988.2400000
-244085,3,1.0,772212.8600000
-244085,4,1.0,583438.2700000
-244085,5,1.0,1385671.1700000
-244085,6,1.0,341313.1700000
-244085,7,1.0,408205.2100000
-244085,8,1.0,1016194.0400000
-244085,9,1.0,1349980.1000000
-244085,10,1.0,1240359.9600000
-244085,11,1.0,1224921.8700000
-244085,12,1.0,414355.2100000
-242811,1,1.0,305222.0000000
-242811,3,1.0,295640.3600000
-242811,4,1.0,188062.0000000
-242811,6,1.0,521588.5900000
-242811,8,1.0,836125.6900000
-242811,9,1.0,541249.2100000
-242811,10,1.0,484653.8700000
-242811,11,1.0,521557.0700000
-242811,12,1.0,747243.3000000
-242479,1,1.0,229623.7700000
-242479,2,1.0,76699.0000000
-242479,4,1.0,48470.0000000
-242479,5,1.0,149543.2000000
-242479,6,1.0,42660.0000000
-242479,7,1.0,137358.4500000
-242479,8,1.0,170562.4400000
-242479,9,1.0,74887.6700000
-242479,10,1.0,52917.1500000
-242479,11,1.0,250836.2800000
-242156,1,1.0,159072.8000000
-242156,2,1.0,78929.1300000
-242156,3,1.0,288539.3200000
-242156,4,1.0,456485.3700000
-242156,5,1.0,213030.7200000
-242156,6,1.0,73626.8000000
-242156,7,1.0,114892.1200000
-242156,8,1.0,221888.9700000
-242156,9,1.0,212979.3500000
-242156,10,1.0,406996.6500000
-242156,11,1.0,163899.7500000
-242156,12,1.0,170592.7100000
-242086,1,1.0,145573.4200000
-242086,2,1.0,94050.7000000
-242086,3,1.0,90301.7700000
-242086,4,1.0,88000.0000000
-242086,5,1.0,70240.0000000
-242086,6,1.0,86467.1000000
-242086,7,1.0,100081.5600000
-242086,8,1.0,361690.7800000
-242086,9,1.0,147343.3600000
-242086,10,1.0,246308.3600000
-242086,11,1.0,141210.0000000
-241794,3,1.0,77825.4900000
-241794,7,1.0,142000.0000000
-241794,8,1.0,166735.7700000
-241794,9,1.0,169888.3200000
-241794,10,1.0,185301.0000000
-240389,2,1.0,169301.2000000
