region_code,offer_id,customer_segment_id_test,customer_segment_id_control,discount,start_date,end_date,value_discount,card_id,name
SPO,562390,442633,442527,20231101_SPO_grillchurrascariaespetinho_piloto_NB_peixesefrutosdomar_W44,2023-11-01,2023-11-10,10.0,[413510],['Filé de Tilápia sem Pele - Bello Alimentos']
SPO,562391,442620,442516,20231101_SPO_grillchurrascariaespetinho_piloto_NB_frango_W44,2023-11-01,2023-11-10,10.0,"[134060, 225966, 225965, 413151, 134148, 225964]","['Meio da Asa de Frango com Osso - SEARA', 'Frango a Passarinho IQF com Osso In Natura - Lar', 'Sassami de Frango - Lar', 'Filé de Peito de Frango - Bello Alimentos', 'Coração de Frango - SEARA', 'Filé de Peito de Frango - Lar']"
SPO,562392,442639,442533,20231101_SPO_grillchurrascariaespetinho_piloto_NB_suinos_W44,2023-11-01,2023-11-10,10.0,"[164309, 135759, 132821, 188127, 188124]","['Bacon em Cubos - Frimesa', 'Bacon Fatiado - Frimesa', 'Bisteca Suína Fatiada - BJP Selecta', 'Toucinho pra Torresmo in Natura - BJP', 'Costelinha Suína in Natura - BJP Mezato']"
SPO,562423,441984,442827,20231101_SPO_japonesainternacional_piloto_NB_refrigeranteseenergeticos_W44,2023-11-01,2023-11-10,5.0,"[197664, 339910, 280413, 280416]","['Coca-Cola 350ml', 'Guaraná Antarctica 600ml', 'Guaraná Antarctica 350ml', 'H2OH! Limoneto 500ml']"
SPO,562435,442835,442644,20231101_SPO_japonesainternacional_piloto_NB_aguaseisotonicos_W44,2023-11-01,2023-11-10,5.0,"[428456, 429060]","['Água Mineral Cristal Classic sem gás 510ml', 'Água Mineral Cristal Classic com gás 510ml']"
SPO,562436,441960,442802,20231101_SPO_japonesainternacional_piloto_NB_cervejas_W44,2023-11-01,2023-11-10,7.0,"[415727, 465775]","['Cerveja Itaipava 269ml', 'Cerveja Heineken Sleek 350ml']"
SPO,562437,441986,442829,20231101_SPO_japonesainternacional_piloto_NB_sucosechas_W44,2023-11-01,2023-11-10,8.0,[197671],['Del Valle Uva 290ml']
SPO,562438,441964,442807,20231101_SPO_japonesainternacional_piloto_NB_destilados_W44,2023-11-01,2023-11-10,5.0,"[413548, 411562, 411560, 413544]","['Conhaque Dreher 900ml', 'Cachaça Velho Barreiro 910ml', 'Cachaça 51 965ml', 'Cachaça Pitú 350ml']"
SPO,562439,442836,442645,20231101_SPO_japonesainternacional_piloto_NB_alimentoscongelados_W44,2023-11-01,2023-11-10,4.0,"[466579, 456410, 386710, 417636]","['Brócolis 2kg - Agro Yoshi', 'Batata Pré-Frita Corte Carinhas 1.05kg - Bem Brasil', 'Ervilha 1.1kg - Lar', 'Brócolis 1.02kg - Agro Yoshi']"
SPO,562440,441956,442649,20231101_SPO_japonesainternacional_piloto_NB_batataspre-fritas_W44,2023-11-01,2023-11-10,9.0,"[275010, 275011]","['Batata Pré Frita Tradicional 2kg - Mais Batata', 'Batata Pré Frita Tradicional 2.5kg - Mais Batata']"
SPO,562441,441982,442825,20231101_SPO_japonesainternacional_piloto_NB_polpaseaai_W44,2023-11-01,2023-11-10,7.0,"[465786, 465772, 132422]","['Fruta Congelada Acerola 1.02Kg - Ricaeli', 'Fruta Congelada Morango 1.02Kg - Ricaeli', 'Polpa de Manga - Ricaeli']"
SPO,562442,441966,442809,20231101_SPO_japonesainternacional_piloto_NB_embalagens_W44,2023-11-01,2023-11-10,8.0,[382464],['Tampa Marmitex Spumapac']
SPO,562443,441980,442823,20231101_SPO_japonesainternacional_piloto_NB_papeis_W44,2023-11-01,2023-11-10,7.0,"[318146, 323609, 318142, 281909]","['Guardanapo folha simples Mili 21 x 22cm', 'Papel Toalha Mili 600 folhas', 'Papel higiênico folha dupla Bianco leve 12 pague 11', 'Papel Toalha Kitchen 120 folhas']"
SPO,562444,441985,442828,20231101_SPO_japonesainternacional_piloto_NB_sacos_W44,2023-11-01,2023-11-10,7.0,[270816],['Saco picotado multiuso 2kg (P) Theoto']
SPO,562445,441990,442833,20231101_SPO_japonesainternacional_piloto_NB_utensilios_W44,2023-11-01,2023-11-10,7.0,[447259],['Filtro de Café 103 3 Corações 30 Unidades']
SPO,562446,441970,442814,20231101_SPO_japonesainternacional_piloto_NB_frutas_W44,2023-11-01,2023-11-10,10.0,"[-202924, -202948, -202917, -202958, 62061, -202919]","['Manga Tommy', 'Maracujá', 'Laranja Pera', 'Banana Nanica', 'Abacaxi Pérola', 'Limão Taiti']"
SPO,562447,441974,442817,20231101_SPO_japonesainternacional_piloto_NB_legumes_W44,2023-11-01,2023-11-10,10.0,"[-202930, -202950, -202962, -202912, -202940, -202929]","['Pimentão Verde', 'Tomate Italiano Salada', 'Chuchu', 'Cenoura', 'Abobrinha Italiana', 'Pepino Japonês']"
SPO,562448,441989,442832,20231101_SPO_japonesainternacional_piloto_NB_tuberculos_W44,2023-11-01,2023-11-10,10.0,"[-202908, -202941, -202949, 60544]","['Batata Lavada Padrão', 'Cebola', 'Cebola Roxa', 'Alho Descascado Pacote 1 kg']"
SPO,562449,441973,442816,20231101_SPO_japonesainternacional_piloto_NB_laticinios_W44,2023-11-01,2023-11-10,7.0,"[60434, 91553, 99415, 99420, 99430, 99433]","['Creme de Leite Italac 200g', 'Leite Condensado Italac 395g', 'Leite Condensado Piracanjuba 395g', 'Leite Condensado Bag Piracanjuba 2,5Kg', 'Creme de Leite Piracanjuba 200g', 'Creme de Leite Piracanjuba 1,030Kg']"
SPO,562450,441975,442818,20231101_SPO_japonesainternacional_piloto_NB_leite_W44,2023-11-01,2023-11-10,4.0,"[84008, 443309, 197110]","['Leite Integral Italac 1L', 'Leite Integral Líder 1L', 'Leite Integral Shefa 1L']"
SPO,562451,441976,442819,20231101_SPO_japonesainternacional_piloto_NB_manteigasemargarinas_W44,2023-11-01,2023-11-10,5.0,"[177068, 177070, 177069, 177072]","['Margarina Cremosa sem Sal 0.5kg - Claybom', 'Margarina Cremosa com Sal 0.5kg - Qualy', 'Margarina Cremosa com Sal 1kg - Claybom', 'Margarina Cremosa 3kg - Sofiteli']"
SPO,562452,441979,442822,20231101_SPO_japonesainternacional_piloto_NB_ovos_W44,2023-11-01,2023-11-10,10.0,"[451213, 440079]","['Bandeja de Ovos Brancos Grandes Aja', 'Ovos Grandes Branco Aja']"
SPO,562453,441983,442826,20231101_SPO_japonesainternacional_piloto_NB_queijos_W44,2023-11-01,2023-11-10,9.0,"[196813, 383859, 468464, 421531, 196812, 374367, 210067, 155959]","['Requeijão Cremoso 1.5kg - Catupiry', 'Queijo Mussarela 4.1kg - Monte Castelo', 'OLD Queijo Mussarela 4Kg - Ouro do Campo', 'Queijo Mussarela 4kg - Litoral', 'Cream Cheese Cremoso 1.2kg - Catupiry', 'Requeijão 200g - Tirolez', 'Queijo Mussarela 4kg - Três Marias', 'Cream Cheese Cremoso 1.2kg - Scala']"
SPO,562454,441962,442805,20231101_SPO_japonesainternacional_piloto_NB_desengordurantes_W44,2023-11-01,2023-11-10,10.0,"[130577, 194564]","['Sapólio Radium Cremoso Clássico 450ml', 'Desengordurante Triex 500ml']"
SPO,562455,441963,442806,20231101_SPO_japonesainternacional_piloto_NB_desinfetantesesanitizantes_W44,2023-11-01,2023-11-10,10.0,"[243110, 453230, 454961, 194515, 243111, 194565, 453240, 194514, 194566]","['Água Sanitária Suprema 2L', 'Álcool Neutro Sulmar 46° 1L', 'Água Sanitária Conde 5L', 'Água Sanitária Triex 5L', 'Água Sanitária Suprema 5L', 'Desinfetante Triex 2L', 'Álcool Bactericida Sulmar 70° 1L', 'Água Sanitária Triex 2L', 'Desinfetante Triex 5L']"
SPO,562456,441965,442808,20231101_SPO_japonesainternacional_piloto_NB_detergentesabaoelava-louas_W44,2023-11-01,2023-11-10,10.0,"[194589, 378276, 194588, 454965, 455143]","['Detergente Triex Neutro 5L', 'Sabão em pó Triex 800g', 'Detergente Triex Neutro 500ml', 'Detergente Neutro Conde 5L', 'Detergente Ypê Neutro 5L']"
SPO,562457,441978,442821,20231101_SPO_japonesainternacional_piloto_NB_outroslimpadores_W44,2023-11-01,2023-11-10,10.0,"[194593, 194595, 194591, 454968, 194592, 194594, 374626]","['Limpa pisos Triex 1L', 'Limpador Multiuso Triex 500ml', 'Limpa Alumínio Triex 500ml', 'Limpador Multiuso Tradicional Conde 500ml', 'Limpa Vidros Triex 500ml', 'Limpa pisos Triex 5L', 'Lustra Móveis Triex Lavanda 200ml']"
SPO,562458,441991,442834,20231101_SPO_japonesainternacional_piloto_NB_utensiliosdelimpeza_W44,2023-11-01,2023-11-10,10.0,"[440805, 194567]","['Esponja de Aço Assolan 8 unidades', 'Esponja multiuso Triex Leve 4. Pague 3']"
SPO,562459,442838,442647,20231101_SPO_japonesainternacional_piloto_NB_aucaradoantesedoces_W44,2023-11-01,2023-11-10,4.0,"[457365, 60417, 124668]","['Açúcar Refinado Caravelas 1kg', 'Açúcar Refinado União 1Kg', 'Açúcar Refinado Da Barra 1Kg']"
SPO,562460,442837,442646,20231101_SPO_japonesainternacional_piloto_NB_arroz_W44,2023-11-01,2023-11-10,5.0,"[123459, 231959, 191359]","['Arroz Branco Camil Food Service 5kg', 'Arroz Branco Campeiro 5Kg', 'Arroz Japonês Guin Grão Longo 5Kg']"
SPO,562461,442839,442648,20231101_SPO_japonesainternacional_piloto_NB_azeitesoleosevinagres_W44,2023-11-01,2023-11-10,4.0,"[97623, 105315, 293209, 448768, 74424, 406912, 440909, 98454]","['Óleo Composto Olinda 500ml', 'Vinagre de Álcool Colorido Galo de Barcelos 750ml', 'Óleo Vitaliv 900ml', 'Vinagre De Álcool Castelo 5L', 'Óleo Concórdia 900 ml', 'Azeite de Oliva Extra Virgem Borges 2 L', 'Óleo de soja Coamo 900 ml', 'Vinagre de Álcool Galo de Barcelos 750ml']"
SPO,562462,441958,442650,20231101_SPO_japonesainternacional_piloto_NB_cafechocolateseinfusoes_W44,2023-11-01,2023-11-10,8.0,"[450713, 221862, 190559, 367820, 367818, 450727, 450724]","['Café Brasileiro Tradicional Vácuo 500g', 'Café Tradicional Pouch FORT 500g', 'Café Pilão Tradicional Almofada 500g', 'Café Seleto Tradicional Almofada 500g', 'Café Seleto Extraforte Almofada 500g', 'Café Brasileiro Extraforte Pouch 500g', 'Café Brasileiro Tradicional Pouch 500g']"
SPO,562463,441959,442803,20231101_SPO_japonesainternacional_piloto_NB_condimentos_W44,2023-11-01,2023-11-10,5.0,"[221888, 114325, 114321, 425070, 114323, 114317, 442131, 114309, 114322, 114310, 456509, 247609, 221887, 456419, 114315]","['Maionese Siolle 3Kg', 'Mostarda Amarela Cepêra Sachê 175 X 7g', 'Mostarda Amarela Cepêra 3,3Kg', 'Maionese Mariana 3kg', 'Ketchup Cepêra Sachê 175 X 7g', 'Molho de Pimenta Vermelha Cepêra 1,01L', ""Ketchup D'Lanche 3kg"", 'Ketchup Cepêra 3,5Kg', 'Mostarda Amarela Cepêra 1,01Kg', 'Ketchup Cepêra 1,01Kg', 'Ketchup Cepêra Sachê 154 x 7g', 'Maionese Liza Caseira 2.7kg', 'Maionese Siolle 1Kg', 'Molho de Pimenta Sriracha Cepêra 270ml', 'Molho Inglês Cepêra 1,01L']"
